Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Relative Growth Rate,Standard Error of the Mean for Relative Growth Rate
50583-7,MCF 10A,10111-101-1,TWS119,3.33,uM,LJP5,0.8383,0.1116,0.8278,0.1165
50583-7,MCF 10A,10068-101-1,Vemurafenib,3.33,uM,LJP5,0.6887,0.1314,0.6620,0.1331
50583-7,MCF 10A,10481-101-1,Withaferin A,3.33,uM,LJP5,0.0479,0.0086,-0.0570,0.0359
50583-7,MCF 10A,10481-101-1,Withaferin A,3.33,uM,LJP6,0.0420,0.0073,-0.0636,0.0368
50583-7,MCF 10A,10064-101-1,WYE-125132,3.33,uM,LJP6,0.1563,0.0484,0.0669,0.0241
50583-7,MCF 10A,10084-101-1,WZ3105,3.33,uM,LJP5,0.0379,0.0115,-0.0686,0.0431
50583-7,MCF 10A,10086-101-1,XMD11-50,3.33,uM,LJP6,0.2929,0.0964,0.2220,0.0831
50583-7,MCF 10A,10149-102-1,Y39983,3.33,uM,LJP6,0.7047,0.0955,0.6765,0.0962
50583-7,MCF 10A,10109-101-1,YM 201636,3.33,uM,LJP5,0.6042,0.0713,0.5659,0.0661
50583-7,MCF 10A,10053-101-1,ZSTK474,3.33,uM,LJP6,0.2311,0.0613,0.1509,0.0408
50583-7,MCF 10A,10133-101-1,Afatinib,10.0,uM,LJP6,0.1093,0.0302,0.0132,0.0071
50583-7,MCF 10A,10035-101-1,Sigma A6730,10.0,uM,LJP5,0.4764,0.1225,0.4264,0.1168
50583-7,MCF 10A,10011-101-1,Alvocidib,10.0,uM,LJP6,0.0330,0.0063,-0.0739,0.0401
50583-7,MCF 10A,10004-101-1,AT-7519,10.0,uM,LJP6,0.0292,0.0087,-0.0783,0.0431
50583-7,MCF 10A,10158-101-1,AZD 5438,10.0,uM,LJP6,0.0461,0.0074,-0.0591,0.0361
50583-7,MCF 10A,10059-101-1,AZD-6482,10.0,uM,LJP5,0.2989,0.1134,0.2275,0.1053
50583-7,MCF 10A,10006-101-1,AZD7762,10.0,uM,LJP6,0.0494,0.0130,-0.0545,0.0215
50583-7,MCF 10A,10007-101-1,AZD8055,10.0,uM,LJP6,0.0996,0.0606,0.0037,0.0500
50583-7,MCF 10A,10164-101-1,AZD8330,10.0,uM,LJP5,0.1586,0.0575,0.0699,0.0336
50583-7,MCF 10A,10067-101-1,Barasertib,10.0,uM,LJP5,0.1492,0.0176,0.0567,0.0125
50583-7,MCF 10A,10041-101-1,BI-2536,10.0,uM,LJP6,0.0952,0.0162,-0.0034,0.0158
50583-7,MCF 10A,10028-102-1,BMS345541,10.0,uM,LJP6,0.7675,0.0580,0.7448,0.0567
50583-7,MCF 10A,10132-101-1,SNS-032,10.0,uM,LJP6,0.0342,0.0026,-0.0724,0.0376
50583-7,MCF 10A,10234-101-1,GDC-0980,10.0,uM,LJP5,0.1116,0.0404,0.0167,0.0142
50583-7,MCF 10A,10122-101-1,NVP-AEW541,10.0,uM,LJP5,0.3596,0.1256,0.2956,0.1194
50583-7,MCF 10A,10046-101-1,SB590885,10.0,uM,LJP5,0.5634,0.0899,0.5218,0.0839
50583-7,MCF 10A,10190-101-1,PIK-93,10.0,uM,LJP5,0.3755,0.0803,0.3121,0.0669
50583-7,MCF 10A,10031-101-1,KIN001-043,10.0,uM,LJP6,0.3790,0.0987,0.3165,0.0887
50583-7,MCF 10A,10233-101-1,Alpelisib,10.0,uM,LJP5,0.3344,0.0943,0.2665,0.0835
50583-7,MCF 10A,10161-101-1,Luminespib,10.0,uM,LJP5,0.0833,0.0192,-0.0164,0.0125
50583-7,MCF 10A,10045-101-1,A443654,10.0,uM,LJP6,0.0349,0.0095,-0.0713,0.0328
50583-7,MCF 10A,10063-102-1,OSI-027,10.0,uM,LJP6,0.1516,0.0438,0.0613,0.0177
50583-7,MCF 10A,10087-101-1,XMD11-85h,10.0,uM,LJP6,0.6383,0.0945,0.6053,0.0941
50583-7,MCF 10A,10017-101-1,HG-6-64-01,10.0,uM,LJP6,0.0951,0.0471,-0.0012,0.0198
50583-7,MCF 10A,10039-101-1,WH-4-025,10.0,uM,LJP5,0.1863,0.0597,0.1010,0.0367
50583-7,MCF 10A,10082-101-1,WZ-4-145,10.0,uM,LJP6,0.1151,0.0466,0.0210,0.0204
50583-7,MCF 10A,10091-101-1,XMD16-144,10.0,uM,LJP5,0.0902,0.0154,-0.0090,0.0172
50583-7,MCF 10A,10177-101-1,Brivanib,10.0,uM,LJP5,0.2412,0.0606,0.1620,0.0399
50583-7,MCF 10A,10147-101-1,Buparlisib,10.0,uM,LJP5,0.0474,0.0078,-0.0572,0.0291
50583-7,MCF 10A,10055-101-1,BX-912,10.0,uM,LJP5,0.1257,0.0254,0.0311,0.0072
50583-7,MCF 10A,10120-102-1,Canertinib,10.0,uM,LJP6,0.0172,0.0034,-0.0915,0.0402
50583-7,MCF 10A,10117-101-1,Celastrol,10.0,uM,LJP6,0.0621,0.0063,-0.0408,0.0281
50583-7,MCF 10A,10025-101-1,CGP60474,10.0,uM,LJP5,0.0420,0.0058,-0.0637,0.0368
50583-7,MCF 10A,10025-101-1,CGP60474,10.0,uM,LJP6,0.0348,0.0042,-0.0716,0.0350
50583-7,MCF 10A,10180-101-1,CHIR-99021,10.0,uM,LJP6,0.6981,0.1265,0.6720,0.1280
50583-7,MCF 10A,10010-101-1,CP724714,10.0,uM,LJP5,0.8911,0.0150,0.8802,0.0129
50583-7,MCF 10A,10009-101-1,CP466722,10.0,uM,LJP5,0.6145,0.2088,0.5875,0.2201
50583-7,MCF 10A,10027-101-1,Crizotinib,10.0,uM,LJP5,0.1303,0.0339,0.0369,0.0070
50583-7,MCF 10A,10140-101-1,Momelotinib,10.0,uM,LJP5,0.1697,0.0363,0.0803,0.0254
50583-7,MCF 10A,10020-101-1,Dasatinib,10.0,uM,LJP5,0.0726,0.0232,-0.0279,0.0094
50583-7,MCF 10A,10020-101-1,Dasatinib,10.0,uM,LJP6,0.0492,0.0165,-0.0545,0.0169
50583-7,MCF 10A,10127-101-1,Dovitinib,10.0,uM,LJP5,0.1072,0.0332,0.0112,0.0082
50583-7,MCF 10A,10069-101-1,Enzastaurin,10.0,uM,LJP5,0.9534,0.1105,0.9551,0.1184
50583-7,MCF 10A,10097-101-1,Erlotinib,10.0,uM,LJP5,0.1498,0.0461,0.0594,0.0202
50583-7,MCF 10A,10157-101-1,Foretinib,10.0,uM,LJP5,0.0864,0.0238,-0.0125,0.0084
50583-7,MCF 10A,10040-101-1,R406,10.0,uM,LJP6,0.5402,0.1316,0.4992,0.1305
50583-7,MCF 10A,10047-101-1,Pictilisib,10.0,uM,LJP6,0.1364,0.0447,0.0445,0.0185
50583-7,MCF 10A,10098-101-1,Gefitinib,10.0,uM,LJP6,0.1351,0.0378,0.0426,0.0112
50583-7,MCF 10A,10108-101-1,Geldanamycin,10.0,uM,LJP5,0.0586,0.0156,-0.0441,0.0188
50583-7,MCF 10A,10108-101-1,Geldanamycin,10.0,uM,LJP6,0.0452,0.0145,-0.0590,0.0194
50583-7,MCF 10A,10172-101-1,GSK1059615,10.0,uM,LJP5,0.0681,0.0322,-0.0323,0.0088
50583-7,MCF 10A,10172-101-1,GSK1059615,10.0,uM,LJP6,0.0705,0.0324,-0.0297,0.0095
50583-7,MCF 10A,10134-101-1,GSK1904529A,10.0,uM,LJP6,0.5167,0.1371,0.4689,0.1383
50583-7,MCF 10A,10146-101-1,Omipalisib,10.0,uM,LJP6,0.0630,0.0131,-0.0393,0.0213
50583-7,MCF 10A,10128-101-1,GSK 690693,10.0,uM,LJP5,0.8114,0.0573,0.7948,0.0568
50583-7,MCF 10A,10014-101-1,GW843682X,10.0,uM,LJP6,0.0646,0.0015,-0.0386,0.0355
50583-7,MCF 10A,10015-101-1,HG-5-113-01,10.0,uM,LJP5,0.0817,0.0171,-0.0182,0.0149
50583-7,MCF 10A,10016-101-1,HG-5-88-01,10.0,uM,LJP6,0.3412,0.0931,0.2753,0.0795
50583-7,MCF 10A,10023-103-1,Imatinib,10.0,uM,LJP6,1.0078,0.0332,1.0081,0.0358
50583-7,MCF 10A,10100-101-1,JNK-9L,10.0,uM,LJP6,0.0705,0.0128,-0.0311,0.0201
50583-7,MCF 10A,10019-101-1,JW-7-24-1,10.0,uM,LJP6,0.1829,0.0880,0.0993,0.0699
50583-7,MCF 10A,10051-104-1,Lapatinib,10.0,uM,LJP6,0.2430,0.0954,0.1665,0.0785
50583-7,MCF 10A,10115-102-1,LDN-193189,10.0,uM,LJP5,0.0173,0.0045,-0.0907,0.0317
50583-7,MCF 10A,10182-101-1,Linifanib,10.0,uM,LJP6,0.6101,0.1861,0.5791,0.1901
50583-7,MCF 10A,10135-101-1,Linsitinib,10.0,uM,LJP5,0.5226,0.1796,0.4762,0.1853
50583-7,MCF 10A,10479-102-1,Mitoxantrone,10.0,uM,LJP5,0.0586,0.0154,-0.0441,0.0183
50583-7,MCF 10A,10479-102-1,Mitoxantrone,10.0,uM,LJP6,0.0531,0.0052,-0.0510,0.0293
50583-7,MCF 10A,10057-102-1,MK2206,10.0,uM,LJP6,0.3208,0.0867,0.2523,0.0734
50583-7,MCF 10A,10018-101-1,Neratinib,10.0,uM,LJP5,0.1454,0.0454,0.0545,0.0200
50583-7,MCF 10A,10099-101-1,Nilotinib,10.0,uM,LJP5,0.3849,0.0817,0.3215,0.0784
50583-7,MCF 10A,10151-101-1,Nintedanib,10.0,uM,LJP6,0.9444,0.0376,0.9405,0.0391
50583-7,MCF 10A,10061-101-1,NU7441,10.0,uM,LJP5,0.3051,0.1719,0.2408,0.1713
50583-7,MCF 10A,10232-101-1,Dactolisib,10.0,uM,LJP5,0.1780,0.0462,0.0908,0.0225
50583-7,MCF 10A,10024-101-1,NVP-TAE684,10.0,uM,LJP6,0.1485,0.0589,0.0587,0.0388
50583-7,MCF 10A,10071-101-1,Palbociclib,10.0,uM,LJP6,0.3021,0.0585,0.2294,0.0422
50583-7,MCF 10A,10101-101-1,PD0325901,10.0,uM,LJP5,0.1361,0.0430,0.0439,0.0189
50583-7,MCF 10A,10101-101-1,PD0325901,10.0,uM,LJP6,0.1065,0.0392,0.0109,0.0115
50583-7,MCF 10A,10026-101-1,PD173074,10.0,uM,LJP6,0.5208,0.1198,0.4735,0.1182
50583-7,MCF 10A,10048-101-1,PD184352,10.0,uM,LJP5,0.1653,0.0574,0.0776,0.0338
50583-7,MCF 10A,10159-101-1,Pelitinib,10.0,uM,LJP5,0.0935,0.0337,-0.0040,0.0092
50583-7,MCF 10A,10116-101-1,PF431396,10.0,uM,LJP5,0.0533,0.0075,-0.0509,0.0324
50583-7,MCF 10A,10112-101-1,PF477736,10.0,uM,LJP5,0.0849,0.0182,-0.0147,0.0135
50583-7,MCF 10A,10072-101-1,PF562271,10.0,uM,LJP6,0.0453,0.0063,-0.0602,0.0389
50583-7,MCF 10A,10125-101-1,PHA-665752,10.0,uM,LJP5,0.4878,0.2250,0.4472,0.2301
50583-7,MCF 10A,10073-101-1,PHA-793887,10.0,uM,LJP6,0.0462,0.0063,-0.0590,0.0363
50583-7,MCF 10A,10126-101-1,PI103,10.0,uM,LJP6,0.1265,0.0377,0.0330,0.0120
50583-7,MCF 10A,10049-101-1,PLX-4720,10.0,uM,LJP5,0.8180,0.0700,0.8028,0.0708
50583-7,MCF 10A,10075-101-1,QL-X-138,10.0,uM,LJP6,0.0651,0.0208,-0.0365,0.0116
50583-7,MCF 10A,10077-101-1,QL-XII-47,10.0,uM,LJP6,0.0587,0.0070,-0.0447,0.0287
50583-7,MCF 10A,10480-101-1,Radicicol,10.0,uM,LJP5,0.0447,0.0060,-0.0602,0.0291
50583-7,MCF 10A,10480-101-1,Radicicol,10.0,uM,LJP6,0.0505,0.0124,-0.0534,0.0236
50583-7,MCF 10A,10001-101-1,Seliciclib,10.0,uM,LJP5,0.3424,0.1102,0.2761,0.1012
50583-7,MCF 10A,10138-105-1,Ruxolitinib,10.0,uM,LJP5,0.7234,0.0571,0.6971,0.0545
50583-7,MCF 10A,10148-101-1,XL147,10.0,uM,LJP5,0.4629,0.0306,0.4052,0.0260
50583-7,MCF 10A,10032-101-1,Saracatinib,10.0,uM,LJP6,0.1383,0.0438,0.0465,0.0174
50583-7,MCF 10A,10056-101-1,Selumetinib,10.0,uM,LJP6,0.1692,0.0507,0.0813,0.0261
50583-7,MCF 10A,10052-101-1,Sirolimus,10.0,uM,LJP6,0.9742,0.0767,0.9754,0.0870
50583-7,MCF 10A,10008-101-1,Sorafenib,10.0,uM,LJP6,0.5256,0.0549,0.4742,0.0590
50583-7,MCF 10A,10119-101-1,SU11274,10.0,uM,LJP5,0.3494,0.0627,0.2824,0.0464
50583-7,MCF 10A,10141-101-1,Fedratinib,10.0,uM,LJP5,0.1178,0.0402,0.0235,0.0127
50583-7,MCF 10A,10171-101-1,TGX221,10.0,uM,LJP5,0.9115,0.0868,0.9068,0.0913
50583-7,MCF 10A,10079-101-1,Torin1,10.0,uM,LJP6,0.1288,0.0297,0.0349,0.0021
50583-7,MCF 10A,10080-101-1,Torin2,10.0,uM,LJP5,0.1066,0.0315,0.0103,0.0112
50583-7,MCF 10A,10021-101-1,Tozasertib,10.0,uM,LJP5,0.1184,0.0223,0.0228,0.0087
50583-7,MCF 10A,10142-101-1,Trametinib,10.0,uM,LJP5,0.1955,0.0590,0.1112,0.0363
50583-7,MCF 10A,10111-101-1,TWS119,10.0,uM,LJP5,0.1148,0.0440,0.0204,0.0172
50583-7,MCF 10A,10068-101-1,Vemurafenib,10.0,uM,LJP5,0.3460,0.0839,0.2796,0.0702
50583-7,MCF 10A,10481-101-1,Withaferin A,10.0,uM,LJP5,0.0379,0.0092,-0.0684,0.0400
50583-7,MCF 10A,10481-101-1,Withaferin A,10.0,uM,LJP6,0.0357,0.0096,-0.0710,0.0418
50583-7,MCF 10A,10064-101-1,WYE-125132,10.0,uM,LJP6,0.1508,0.0435,0.0604,0.0179
50583-7,MCF 10A,10084-101-1,WZ3105,10.0,uM,LJP5,0.0338,0.0095,-0.0731,0.0409
50583-7,MCF 10A,10086-101-1,XMD11-50,10.0,uM,LJP6,0.1436,0.0430,0.0523,0.0198
50583-7,MCF 10A,10149-102-1,Y39983,10.0,uM,LJP6,0.2689,0.0859,0.1916,0.0818
50583-7,MCF 10A,10109-101-1,YM 201636,10.0,uM,LJP5,0.2321,0.0522,0.1511,0.0314
50583-7,MCF 10A,10053-101-1,ZSTK474,10.0,uM,LJP6,0.1671,0.0414,0.0782,0.0218
50029-3,MCF7,10133-101-1,Afatinib,0.04,uM,LJP6,0.7926,0.0621,0.7116,0.0891
50029-3,MCF7,10035-101-1,Sigma A6730,0.04,uM,LJP5,0.8015,0.0157,0.7252,0.0165
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,0.2411,0.0386,-0.0556,0.0706
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,0.7441,0.1649,0.6379,0.2350
50029-3,MCF7,10158-101-1,AZD 5438,0.04,uM,LJP6,0.8071,0.0496,0.7306,0.0727
50029-3,MCF7,10059-101-1,AZD-6482,0.04,uM,LJP5,1.0809,0.0406,1.1127,0.0581
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,0.4293,0.0398,0.2098,0.0362
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,0.2953,0.0105,0.0218,0.0138
50029-3,MCF7,10164-101-1,AZD8330,0.04,uM,LJP5,0.4788,0.0429,0.2784,0.0458
50029-3,MCF7,10067-101-1,Barasertib,0.04,uM,LJP5,0.3927,0.0144,0.1564,0.0285
50029-3,MCF7,10041-101-1,BI-2536,0.04,uM,LJP6,0.3330,0.0309,0.0755,0.0205
50029-3,MCF7,10028-102-1,BMS345541,0.04,uM,LJP6,1.0244,0.0348,1.0361,0.0483
50029-3,MCF7,10132-101-1,SNS-032,0.04,uM,LJP6,0.2437,0.0355,-0.0512,0.0620
50029-3,MCF7,10234-101-1,GDC-0980,0.04,uM,LJP5,0.3458,0.0198,0.0900,0.0475
50029-3,MCF7,10122-101-1,NVP-AEW541,0.04,uM,LJP5,1.0087,0.0240,1.0109,0.0331
50029-3,MCF7,10046-101-1,SB590885,0.04,uM,LJP5,0.9636,0.0465,0.9504,0.0654
50029-3,MCF7,10190-101-1,PIK-93,0.04,uM,LJP5,1.1076,0.0519,1.1489,0.0731
50029-3,MCF7,10031-101-1,KIN001-043,0.04,uM,LJP6,0.9362,0.0265,0.9101,0.0382
50029-3,MCF7,10233-101-1,Alpelisib,0.04,uM,LJP5,0.9135,0.0568,0.8776,0.0808
50029-3,MCF7,10161-101-1,Luminespib,0.04,uM,LJP5,0.3044,0.0260,0.0352,0.0196
50029-3,MCF7,10045-101-1,A443654,0.04,uM,LJP6,0.2745,0.0290,-0.0069,0.0362
50029-3,MCF7,10063-102-1,OSI-027,0.04,uM,LJP6,0.8847,0.0553,0.8372,0.0792
50029-3,MCF7,10087-101-1,XMD11-85h,0.04,uM,LJP6,0.7766,0.0447,0.6924,0.0540
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1.1188,0.0325,1.1645,0.0452
50029-3,MCF7,10039-101-1,WH-4-025,0.04,uM,LJP5,0.9703,0.0284,0.9583,0.0405
50029-3,MCF7,10082-101-1,WZ-4-145,0.04,uM,LJP6,0.7033,0.0212,0.5882,0.0292
50029-3,MCF7,10091-101-1,XMD16-144,0.04,uM,LJP5,0.3855,0.0141,0.1470,0.0156
50029-3,MCF7,10177-101-1,Brivanib,0.04,uM,LJP5,0.9389,0.0470,0.9150,0.0670
50029-3,MCF7,10147-101-1,Buparlisib,0.04,uM,LJP5,0.8247,0.1164,0.7527,0.1660
50029-3,MCF7,10055-101-1,BX-912,0.04,uM,LJP5,0.8609,0.0263,0.8075,0.0354
50029-3,MCF7,10120-102-1,Canertinib,0.04,uM,LJP6,0.9653,0.0056,0.9521,0.0066
50029-3,MCF7,10117-101-1,Celastrol,0.04,uM,LJP6,1.0610,0.0196,1.0842,0.0268
50029-3,MCF7,10025-101-1,CGP60474,0.04,uM,LJP5,0.9647,0.0694,0.9482,0.0975
50029-3,MCF7,10025-101-1,CGP60474,0.04,uM,LJP6,0.1467,0.0111,-0.1846,0.0178
50029-3,MCF7,10180-101-1,CHIR-99021,0.04,uM,LJP6,0.8443,0.0440,0.7863,0.0555
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,0.8791,0.0490,0.8305,0.0709
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,1.1188,0.0260,1.1653,0.0378
50029-3,MCF7,10027-101-1,Crizotinib,0.04,uM,LJP5,0.8126,0.0385,0.7416,0.0490
50029-3,MCF7,10140-101-1,Momelotinib,0.04,uM,LJP5,0.9505,0.0140,0.9305,0.0205
50029-3,MCF7,10020-101-1,Dasatinib,0.04,uM,LJP5,0.6971,0.0451,0.5799,0.0630
50029-3,MCF7,10020-101-1,Dasatinib,0.04,uM,LJP6,0.3131,0.0440,0.0473,0.0547
50029-3,MCF7,10127-101-1,Dovitinib,0.04,uM,LJP5,0.9328,0.0244,0.9078,0.0322
50029-3,MCF7,10069-101-1,Enzastaurin,0.04,uM,LJP5,1.0142,0.0348,1.0175,0.0469
50029-3,MCF7,10097-101-1,Erlotinib,0.04,uM,LJP5,0.8987,0.0334,0.8586,0.0483
50029-3,MCF7,10157-101-1,Foretinib,0.04,uM,LJP5,1.0459,0.0156,1.0630,0.0209
50029-3,MCF7,10040-101-1,R406,0.04,uM,LJP6,0.9348,0.0459,0.9124,0.0602
50029-3,MCF7,10047-101-1,Pictilisib,0.04,uM,LJP6,0.4694,0.0306,0.2629,0.0476
50029-3,MCF7,10098-101-1,Gefitinib,0.04,uM,LJP6,1.0537,0.0312,1.0750,0.0446
50029-3,MCF7,10108-101-1,Geldanamycin,0.04,uM,LJP5,0.6051,0.0301,0.4500,0.0519
50029-3,MCF7,10108-101-1,Geldanamycin,0.04,uM,LJP6,0.5839,0.0187,0.4212,0.0364
50029-3,MCF7,10172-101-1,GSK1059615,0.04,uM,LJP5,1.0383,0.0410,1.0508,0.0550
50029-3,MCF7,10172-101-1,GSK1059615,0.04,uM,LJP6,0.9407,0.0313,0.9190,0.0425
50029-3,MCF7,10134-101-1,GSK1904529A,0.04,uM,LJP6,0.5650,0.0508,0.3932,0.0817
50029-3,MCF7,10146-101-1,Omipalisib,0.04,uM,LJP6,0.2817,0.0239,0.0035,0.0230
50029-3,MCF7,10128-101-1,GSK 690693,0.04,uM,LJP5,0.6809,0.0238,0.5554,0.0418
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,0.7162,0.0546,0.6030,0.0826
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,0.9050,0.0351,0.8680,0.0500
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,0.6771,0.0373,0.5523,0.0501
50029-3,MCF7,10023-103-1,Imatinib,0.04,uM,LJP6,1.0279,0.0396,1.0379,0.0556
50029-3,MCF7,10100-101-1,JNK-9L,0.04,uM,LJP6,0.7383,0.0440,0.6366,0.0629
50029-3,MCF7,10019-101-1,JW-7-24-1,0.04,uM,LJP6,0.6587,0.0324,0.5256,0.0491
50029-3,MCF7,10051-104-1,Lapatinib,0.04,uM,LJP6,0.8099,0.0483,0.7344,0.0713
50029-3,MCF7,10115-102-1,LDN-193189,0.04,uM,LJP5,1.1062,0.0242,1.1481,0.0355
50029-3,MCF7,10182-101-1,Linifanib,0.04,uM,LJP6,1.0312,0.0605,1.0456,0.0854
50029-3,MCF7,10135-101-1,Linsitinib,0.04,uM,LJP5,0.7789,0.0122,0.6936,0.0110
50029-3,MCF7,10479-102-1,Mitoxantrone,0.04,uM,LJP5,0.3090,0.0120,0.0407,0.0155
50029-3,MCF7,10479-102-1,Mitoxantrone,0.04,uM,LJP6,0.2861,0.0112,0.0088,0.0162
50029-3,MCF7,10057-102-1,MK2206,0.04,uM,LJP6,0.6659,0.0378,0.5343,0.0601
50029-3,MCF7,10018-101-1,Neratinib,0.04,uM,LJP5,0.7776,0.0700,0.6948,0.0905
50029-3,MCF7,10099-101-1,Nilotinib,0.04,uM,LJP5,1.0606,0.0143,1.0837,0.0191
50029-3,MCF7,10151-101-1,Nintedanib,0.04,uM,LJP6,0.9725,0.0248,0.9630,0.0337
50029-3,MCF7,10061-101-1,NU7441,0.04,uM,LJP5,1.0358,0.0361,1.0476,0.0481
50029-3,MCF7,10232-101-1,Dactolisib,0.04,uM,LJP5,0.3763,0.0499,0.1338,0.0731
50029-3,MCF7,10024-101-1,NVP-TAE684,0.04,uM,LJP6,0.6263,0.0797,0.4767,0.1196
50029-3,MCF7,10071-101-1,Palbociclib,0.04,uM,LJP6,0.7257,0.0294,0.6174,0.0480
50029-3,MCF7,10101-101-1,PD0325901,0.04,uM,LJP5,0.6774,0.0205,0.5519,0.0309
50029-3,MCF7,10101-101-1,PD0325901,0.04,uM,LJP6,0.6641,0.0223,0.5343,0.0267
50029-3,MCF7,10026-101-1,PD173074,0.04,uM,LJP6,1.0609,0.0321,1.0834,0.0438
50029-3,MCF7,10048-101-1,PD184352,0.04,uM,LJP5,0.9603,0.0849,0.9408,0.1184
50029-3,MCF7,10159-101-1,Pelitinib,0.04,uM,LJP5,1.0876,0.0297,1.1232,0.0434
50029-3,MCF7,10116-101-1,PF431396,0.04,uM,LJP5,0.7972,0.0275,0.7166,0.0439
50029-3,MCF7,10112-101-1,PF477736,0.04,uM,LJP5,0.6613,0.0241,0.5299,0.0339
50029-3,MCF7,10072-101-1,PF562271,0.04,uM,LJP6,0.8492,0.0082,0.7910,0.0063
50029-3,MCF7,10125-101-1,PHA-665752,0.04,uM,LJP5,1.0921,0.0170,1.1269,0.0201
50029-3,MCF7,10073-101-1,PHA-793887,0.04,uM,LJP6,0.3945,0.0431,0.1585,0.0668
50029-3,MCF7,10126-101-1,PI103,0.04,uM,LJP6,0.7381,0.0556,0.6364,0.0792
50029-3,MCF7,10049-101-1,PLX-4720,0.04,uM,LJP5,1.0707,0.0440,1.0973,0.0616
50029-3,MCF7,10075-101-1,QL-X-138,0.04,uM,LJP6,0.5846,0.0819,0.4224,0.1186
50029-3,MCF7,10077-101-1,QL-XII-47,0.04,uM,LJP6,0.6376,0.0575,0.4942,0.0879
50029-3,MCF7,10480-101-1,Radicicol,0.04,uM,LJP5,0.6711,0.0150,0.5422,0.0310
50029-3,MCF7,10480-101-1,Radicicol,0.04,uM,LJP6,0.6217,0.0140,0.4737,0.0307
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,1.1021,0.0313,1.1433,0.0459
50029-3,MCF7,10138-105-1,Ruxolitinib,0.04,uM,LJP5,1.0032,0.0355,1.0040,0.0503
50029-3,MCF7,10148-101-1,XL147,0.04,uM,LJP5,1.1357,0.0272,1.1872,0.0348
50029-3,MCF7,10032-101-1,Saracatinib,0.04,uM,LJP6,0.8477,0.0297,0.7897,0.0386
50029-3,MCF7,10056-101-1,Selumetinib,0.04,uM,LJP6,0.8604,0.0567,0.8062,0.0805
50029-3,MCF7,10052-101-1,Sirolimus,0.04,uM,LJP6,0.5813,0.0295,0.4191,0.0396
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,0.9260,0.0111,0.8976,0.0145
50029-3,MCF7,10119-101-1,SU11274,0.04,uM,LJP5,1.1342,0.0227,1.1866,0.0328
50029-3,MCF7,10141-101-1,Fedratinib,0.04,uM,LJP5,1.0529,0.0349,1.0730,0.0492
50029-3,MCF7,10171-101-1,TGX221,0.04,uM,LJP5,0.8633,0.0383,0.8113,0.0519
50029-3,MCF7,10079-101-1,Torin1,0.04,uM,LJP6,0.3689,0.0235,0.1246,0.0206
50029-3,MCF7,10080-101-1,Torin2,0.04,uM,LJP5,0.2773,0.0092,-0.0034,0.0160
50029-3,MCF7,10021-101-1,Tozasertib,0.04,uM,LJP5,0.3175,0.0216,0.0533,0.0089
50029-3,MCF7,10142-101-1,Trametinib,0.04,uM,LJP5,0.5015,0.0178,0.3084,0.0165
50029-3,MCF7,10111-101-1,TWS119,0.04,uM,LJP5,1.0898,0.0346,1.1246,0.0490
50029-3,MCF7,10068-101-1,Vemurafenib,0.04,uM,LJP5,1.0120,0.0100,1.0162,0.0135
50029-3,MCF7,10481-101-1,Withaferin A,0.04,uM,LJP5,1.0573,0.0347,1.0803,0.0498
50029-3,MCF7,10481-101-1,Withaferin A,0.04,uM,LJP6,0.9752,0.0197,0.9647,0.0280
50029-3,MCF7,10064-101-1,WYE-125132,0.04,uM,LJP6,0.3652,0.0300,0.1190,0.0403
50029-3,MCF7,10084-101-1,WZ3105,0.04,uM,LJP5,0.1389,0.0245,-0.1947,0.0161
50029-3,MCF7,10086-101-1,XMD11-50,0.04,uM,LJP6,0.8531,0.0124,0.7967,0.0133
50029-3,MCF7,10149-102-1,Y39983,0.04,uM,LJP6,1.0236,0.0274,1.0343,0.0383
50029-3,MCF7,10109-101-1,YM 201636,0.04,uM,LJP5,1.0931,0.0234,1.1283,0.0304
50029-3,MCF7,10053-101-1,ZSTK474,0.04,uM,LJP6,0.7038,0.0771,0.5870,0.1123
50029-3,MCF7,10133-101-1,Afatinib,0.12,uM,LJP6,0.8145,0.0608,0.7410,0.0882
50029-3,MCF7,10035-101-1,Sigma A6730,0.12,uM,LJP5,0.7953,0.0117,0.7151,0.0218
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,0.1384,0.0195,-0.1956,0.0036
