HMS Dataset ID,Dataset Title,Publication(s) Using Dataset,Project Summary Page(s),Assay Description,Assay Protocol Reference,HMS Dataset Type,Usage Message,Date Publicly Available,Most Recent Update
20261,GDC-0941 KINOMEscan-3,,"<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as ""Percent of control"", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ.  A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2016-05-26,2016-06-02
20262,Buparlisib KINOMEscan,,"<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as ""Percent of control"", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ.  A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2016-05-26,2016-06-02
20263,BYL719 KINOMEscan,,"<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as ""Percent of control"", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ.  A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2016-05-26,2016-06-02
20264,Taselisib KINOMEscan,,"<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as ""Percent of control"", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ.  A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2016-05-26,2016-06-02
20265,Multiplexed imaging of protein levels and protein phosphorylation states in the MCF 10A breast cell line treated with EGF,,,The MCF 10A breast cell line was plated in 96-well plates and treated with different doses of epidermal growth factor (EGF) for 24 hr before being fixed and analyzed by immunofluorescence microscopy according to the protocol described below.,,Microscopy/Imaging,,2016-09-29,2016-09-29
20266,Multiplexed imaging of protein levels and protein phosphorylation states in the MCF 10A breast cell line treated with nine kinase inhibitors,,,"The MCF 10A breast cell line was plated in 96-well plates and treated with different doses of one of 9 kinase inhibitors (Getifinib, Erlotinib, Lapatinib, PD0325901, Selumetinib, MK2206, Triciribine, Dactolisib, and Torkinib) for 24 or 48 hr before being fixed and analyzed by immunofluorescence microscopy according to the protocol described below.",,Microscopy/Imaging,,2016-09-29,2016-09-29
20267,Highly-multiplexed imaging by Cyclic Immunofluorescence (CycIF) of protein levels and protein phosphorylation states in the MCF 10A breast cell line treated with EGF or four kinase inhibitors,,,"Cyclic Immunofluorescence (CycIF) is a fluorescence imaging assay used for multiplexed measurement of protein levels and protein phosphorylation states in single cells. The MCF 10A breast cell line was plated in 96-well plates and treated with different doses of one of five perturbagens (EGF and the kinase inhibitors Lapatinib, Selumetinib, Dactolisib, and Torkinib) for 24 hr before being fixed and subjected to nine cycles of CycIF staining according to the protocol described below.",,Microscopy/Imaging,,2016-09-29,2016-09-29
20268,Growth rate-corrected (GR) dose-response metrics across a panel of 71 breast cancer cell lines treated with a library of small molecule and antibody perturbagens. Dataset 1 of 4: Relative cell counts and normalized growth rate inhibition values across technical replicates.,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a>",,"Dose-response data were collected for a panel of 73 breast cancer cell lines grown under standard or modified culture conditions and treated with 139 small molecule and antibody perturbagens. A subset of these data was previously described in Heiser et al. (2012) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a>) and Daemen et al. (2013) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24176112"" target = ""_blank"">24176112</a>). Here, the complete dataset was analyzed using the growth rate inhibition (GR) metrics described in Hafner et al. (2016) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a>) to account for differences in growth rates across the cell lines and treatment conditions.","1. Kuo, W.L., Das, D., Ziyad, S., Bhattacharya, S., Gibb, W.J., Heiser, L.M., Sadanandam, A., Fontenay, G.V., Hu, Z., Wang, N.J., Bayani, N., Feiler, H.S., Neve, R.M., Wyrobek, A.J., Spellman, P.T., Marton, L.J., and Gray, J.W. (2009) A systems analysis of the chemosensitivity of breast cancer cells to the polyamine analogue PG-11047. <i>BMC Med</i>. 7:77. doi:<a href=""http://dx.doi.org/10.1186/1741-7015-7-77"" target = ""_blank"">10.1186/1741-7015-7-77</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20003408"" target = ""_blank"">20003408</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2803786/"" target = ""_blank"">PMC2803786</a><br />
<br />
2. Heiser, L.M., Sadanandam, A., Kuo, W.L., Benz, S.C., Goldstein, T.C., Ng, S., Gibb, W.J., Wang, N.J., Ziyad, S., Tong, F., Bayani, N., Hu, Z., Billig, J.I., Dueregger, A., Lewis, S., Jakkula, L., Korkola, J.E., Durinck, S., Pepin, F., Guan, Y., Purdom, E., Neuvial, P., Bengtsson, H., Wood, K.W., Smith, P.G., Vassilev, L.T., Hennessy, B.T., Greshock, J., Bachman, K.E., Hardwicke, M.A., Park, J.W., Marton, L.J., Wolf, D.M., Collisson, E.A., Neve, R.M., Mills, G.B., Speed, T.P., Feiler, H.S., Wooster, R.F., Haussler, D., Stuart, J.M., Gray, J.W., and Spellman, P.T. (2012) Subtype and pathway specific responses to anticancer compounds in breast cancer. <i>Proc Natl Acad Sci USA</i>. 109(8):2724-9. doi:<a href=""http://dx.doi.org/10.1073/pnas.1018854108"" target = ""_blank"">10.1073/pnas.1018854108</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3286973/"" target = ""_blank"">PMC3286973</a><br />
<br />
3. Heiser, L.M., Wang, N.J., Korkola, J.E., and Gray, J.W. (2017) <i>Synapse</i>. doi:<a href=""http://dx.doi.org/10.7303/syn8094063.1"" target = ""_blank"">10.7303/syn8094063.1</a><br />
<br />
4. Hafner, M., Heiser, L.M., Williams, E.H., Wang, N.J., Korkola, J.E., Gray, J.W., and Sorger, P. K. (2017) <a href=""http://lincs.hms.harvard.edu/wordpress/wp-content/uploads/2017/01/reffilepkg.zip"">Reference file package</a><br />
<br />
5. Hafner, M., Niepel, M., Chung, M., and Sorger, P.K. (2016) Growth rate inhibition metrics correct for confounders in measuring sensitivity to cancer drugs. <i>Nat Methods</i>. 13(6):521-527. doi:<a href=""http://dx.doi.org/10.1038/nmeth.3853"" target = ""_blank"">10.1038/nmeth.3853</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4887336/"" target = ""_blank"">PMC4887336</a><br />",Analysis,,2016-12-22,2017-02-01
20269,Growth rate-corrected (GR) dose-response metrics across a panel of 71 breast cancer cell lines treated with a library of small molecule and antibody perturbagens. Dataset 2 of 4: Calculated dose-response metrics.,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a>",,"Dose-response data were collected for a panel of 73 breast cancer cell lines grown under standard or modified culture conditions and treated with 139 small molecule and antibody perturbagens. A subset of these data was previously described in Heiser et al. (2012) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a>) and Daemen et al. (2013) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24176112"" target = ""_blank"">24176112</a>). Here, the complete dataset was analyzed using the growth rate inhibition (GR) metrics described in Hafner et al. (2016) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a>) to account for differences in growth rates across the cell lines and treatment conditions.","1. Kuo, W.L., Das, D., Ziyad, S., Bhattacharya, S., Gibb, W.J., Heiser, L.M., Sadanandam, A., Fontenay, G.V., Hu, Z., Wang, N.J., Bayani, N., Feiler, H.S., Neve, R.M., Wyrobek, A.J., Spellman, P.T., Marton, L.J., and Gray, J.W. (2009) A systems analysis of the chemosensitivity of breast cancer cells to the polyamine analogue PG-11047. <i>BMC Med</i>. 7:77. doi:<a href=""http://dx.doi.org/10.1186/1741-7015-7-77"" target = ""_blank"">10.1186/1741-7015-7-77</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20003408"" target = ""_blank"">20003408</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2803786/"" target = ""_blank"">PMC2803786</a><br />
<br />
2. Heiser, L.M., Sadanandam, A., Kuo, W.L., Benz, S.C., Goldstein, T.C., Ng, S., Gibb, W.J., Wang, N.J., Ziyad, S., Tong, F., Bayani, N., Hu, Z., Billig, J.I., Dueregger, A., Lewis, S., Jakkula, L., Korkola, J.E., Durinck, S., Pepin, F., Guan, Y., Purdom, E., Neuvial, P., Bengtsson, H., Wood, K.W., Smith, P.G., Vassilev, L.T., Hennessy, B.T., Greshock, J., Bachman, K.E., Hardwicke, M.A., Park, J.W., Marton, L.J., Wolf, D.M., Collisson, E.A., Neve, R.M., Mills, G.B., Speed, T.P., Feiler, H.S., Wooster, R.F., Haussler, D., Stuart, J.M., Gray, J.W., and Spellman, P.T. (2012) Subtype and pathway specific responses to anticancer compounds in breast cancer. <i>Proc Natl Acad Sci USA</i>. 109(8):2724-9. doi:<a href=""http://dx.doi.org/10.1073/pnas.1018854108"" target = ""_blank"">10.1073/pnas.1018854108</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3286973/"" target = ""_blank"">PMC3286973</a><br />
<br />
3. Heiser, L.M., Wang, N.J., Korkola, J.E., and Gray, J.W. (2017) <i>Synapse</i>. doi:<a href=""http://dx.doi.org/10.7303/syn8094063.1"" target = ""_blank"">10.7303/syn8094063.1</a><br />
<br />
4. Hafner, M., Heiser, L.M., Williams, E.H., Wang, N.J., Korkola, J.E., Gray, J.W., and Sorger, P. K. (2017) <a href=""http://lincs.hms.harvard.edu/wordpress/wp-content/uploads/2017/01/reffilepkg.zip"">Reference file package</a><br />
<br />
5. Hafner, M., Niepel, M., Chung, M., and Sorger, P.K. (2016) Growth rate inhibition metrics correct for confounders in measuring sensitivity to cancer drugs. <i>Nat Methods</i>. 13(6):521-527. doi:<a href=""http://dx.doi.org/10.1038/nmeth.3853"" target = ""_blank"">10.1038/nmeth.3853</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4887336/"" target = ""_blank"">PMC4887336</a><br />",Analysis,,2016-12-22,2017-03-14
20270,"Growth rate-corrected (GR) dose-response metric signatures across a panel of 71 breast cancer cell lines treated with a library of small molecule and antibody perturbagens. Dataset 3 of 4: Median, upper quartile, and lower quartile GR metrics per perturbagen.",,,"Dose-response data were collected for a panel of 73 breast cancer cell lines grown under standard or modified culture conditions and treated with 139 small molecule and antibody perturbagens. A subset of these data was previously described in Heiser et al. (2012) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a>) and Daemen et al. (2013) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24176112"" target = ""_blank"">24176112</a>). Here, the complete dataset was analyzed using the growth rate inhibition (GR) metrics described in Hafner et al. (2016) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a>) to account for differences in growth rates across the cell lines and treatment conditions.","1. Kuo, W.L., Das, D., Ziyad, S., Bhattacharya, S., Gibb, W.J., Heiser, L.M., Sadanandam, A., Fontenay, G.V., Hu, Z., Wang, N.J., Bayani, N., Feiler, H.S., Neve, R.M., Wyrobek, A.J., Spellman, P.T., Marton, L.J., and Gray, J.W. (2009) A systems analysis of the chemosensitivity of breast cancer cells to the polyamine analogue PG-11047. <i>BMC Med</i>. 7:77. doi:<a href=""http://dx.doi.org/10.1186/1741-7015-7-77"" target = ""_blank"">10.1186/1741-7015-7-77</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20003408"" target = ""_blank"">20003408</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2803786/"" target = ""_blank"">PMC2803786</a><br />
<br />
2. Heiser, L.M., Sadanandam, A., Kuo, W.L., Benz, S.C., Goldstein, T.C., Ng, S., Gibb, W.J., Wang, N.J., Ziyad, S., Tong, F., Bayani, N., Hu, Z., Billig, J.I., Dueregger, A., Lewis, S., Jakkula, L., Korkola, J.E., Durinck, S., Pepin, F., Guan, Y., Purdom, E., Neuvial, P., Bengtsson, H., Wood, K.W., Smith, P.G., Vassilev, L.T., Hennessy, B.T., Greshock, J., Bachman, K.E., Hardwicke, M.A., Park, J.W., Marton, L.J., Wolf, D.M., Collisson, E.A., Neve, R.M., Mills, G.B., Speed, T.P., Feiler, H.S., Wooster, R.F., Haussler, D., Stuart, J.M., Gray, J.W., and Spellman, P.T. (2012) Subtype and pathway specific responses to anticancer compounds in breast cancer. <i>Proc Natl Acad Sci USA</i>. 109(8):2724-9. doi:<a href=""http://dx.doi.org/10.1073/pnas.1018854108"" target = ""_blank"">10.1073/pnas.1018854108</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3286973/"" target = ""_blank"">PMC3286973</a><br />
<br />
3. Heiser, L.M., Wang, N.J., Korkola, J.E., and Gray, J.W. (2017) <i>Synapse</i>. doi:<a href=""http://dx.doi.org/10.7303/syn8094063.1"" target = ""_blank"">10.7303/syn8094063.1</a><br />
<br />
4. Hafner, M., Heiser, L.M., Williams, E.H., Wang, N.J., Korkola, J.E., Gray, J.W., and Sorger, P. K. (2017) <a href=""http://lincs.hms.harvard.edu/wordpress/wp-content/uploads/2017/01/reffilepkg.zip"">Reference file package</a><br />
<br />
5. Hafner, M., Niepel, M., Chung, M., and Sorger, P.K. (2016) Growth rate inhibition metrics correct for confounders in measuring sensitivity to cancer drugs. <i>Nat Methods</i>. 13(6):521-527. doi:<a href=""http://dx.doi.org/10.1038/nmeth.3853"" target = ""_blank"">10.1038/nmeth.3853</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4887336/"" target = ""_blank"">PMC4887336</a><br />",Analysis,,2016-12-22,2017-10-16
20271,"Growth rate-corrected (GR) dose-response metric signatures across a panel of 71 breast cancer cell lines treated with a library of small molecule and antibody perturbagens. Dataset 4 of 4: Median, upper quartile, and lower quartile GR metrics per perturbagen class.",,,"Dose-response data were collected for a panel of 73 breast cancer cell lines grown under standard or modified culture conditions and treated with 139 small molecule and antibody perturbagens. A subset of these data was previously described in Heiser et al. (2012) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a>) and Daemen et al. (2013) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24176112"" target = ""_blank"">24176112</a>). Here, the complete dataset was analyzed using the growth rate inhibition (GR) metrics described in Hafner et al. (2016) (PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a>) to account for differences in growth rates across the cell lines and treatment conditions.","1. Kuo, W.L., Das, D., Ziyad, S., Bhattacharya, S., Gibb, W.J., Heiser, L.M., Sadanandam, A., Fontenay, G.V., Hu, Z., Wang, N.J., Bayani, N., Feiler, H.S., Neve, R.M., Wyrobek, A.J., Spellman, P.T., Marton, L.J., and Gray, J.W. (2009) A systems analysis of the chemosensitivity of breast cancer cells to the polyamine analogue PG-11047. <i>BMC Med</i>. 7:77. doi:<a href=""http://dx.doi.org/10.1186/1741-7015-7-77"" target = ""_blank"">10.1186/1741-7015-7-77</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20003408"" target = ""_blank"">20003408</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2803786/"" target = ""_blank"">PMC2803786</a><br />
<br />
2. Heiser, L.M., Sadanandam, A., Kuo, W.L., Benz, S.C., Goldstein, T.C., Ng, S., Gibb, W.J., Wang, N.J., Ziyad, S., Tong, F., Bayani, N., Hu, Z., Billig, J.I., Dueregger, A., Lewis, S., Jakkula, L., Korkola, J.E., Durinck, S., Pepin, F., Guan, Y., Purdom, E., Neuvial, P., Bengtsson, H., Wood, K.W., Smith, P.G., Vassilev, L.T., Hennessy, B.T., Greshock, J., Bachman, K.E., Hardwicke, M.A., Park, J.W., Marton, L.J., Wolf, D.M., Collisson, E.A., Neve, R.M., Mills, G.B., Speed, T.P., Feiler, H.S., Wooster, R.F., Haussler, D., Stuart, J.M., Gray, J.W., and Spellman, P.T. (2012) Subtype and pathway specific responses to anticancer compounds in breast cancer. <i>Proc Natl Acad Sci USA</i>. 109(8):2724-9. doi:<a href=""http://dx.doi.org/10.1073/pnas.1018854108"" target = ""_blank"">10.1073/pnas.1018854108</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22003129"" target = ""_blank"">22003129</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3286973/"" target = ""_blank"">PMC3286973</a><br />
<br />
3. Heiser, L.M., Wang, N.J., Korkola, J.E., and Gray, J.W. (2017) <i>Synapse</i>. doi:<a href=""http://dx.doi.org/10.7303/syn8094063.1"" target = ""_blank"">10.7303/syn8094063.1</a><br />
<br />
4. Hafner, M., Heiser, L.M., Williams, E.H., Wang, N.J., Korkola, J.E., Gray, J.W., and Sorger, P. K. (2017) <a href=""http://lincs.hms.harvard.edu/wordpress/wp-content/uploads/2017/01/reffilepkg.zip"">Reference file package</a><br />
<br />
5. Hafner, M., Niepel, M., Chung, M., and Sorger, P.K. (2016) Growth rate inhibition metrics correct for confounders in measuring sensitivity to cancer drugs. <i>Nat Methods</i>. 13(6):521-527. doi:<a href=""http://dx.doi.org/10.1038/nmeth.3853"" target = ""_blank"">10.1038/nmeth.3853</a> PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27135972"" target = ""_blank"">27135972</a> PMCID: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4887336/"" target = ""_blank"">PMC4887336</a><br />",Analysis,,2016-12-22,2017-02-01
20272,Viability and apoptosis measured by imaging in BRAF(V600E/D) melanoma cell lines following treatment with combinations of two compounds (viability/apoptosis dataset 1 of 2),"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28069687"" target = ""_blank"">28069687</a>","<a href = ""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017/"" target = ""_blank"">lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017</a>","The dose response of human melanoma cell lines in response to Vemurafenib in combination with a second compound was measured at 72 hr to determine their effects on apoptosis and viability. Cells were treated in 3 replicates using a Hewlett-Packard (HP) D300 Digital Dispenser with 4 doses of Vemurafenib (1:3.16 dilution ratios) and 1 or 3 doses of a second compound for 72 hr. To score viability and apoptosis, a dye-based imaging assay was used. The cell-permeable DNA dye Hoechst 33342 was used to mark all nuclei, and DEVD-NucView488 Caspase-3 substrate was used to mark the nuclei of cells undergoing apoptosis (i.e., in which caspase 3 is active).",,Microscopy/Imaging,,2016-12-22,2017-01-20
20273,Viability and apoptosis measured by imaging in BRAF(V600E/D) melanoma cell lines following treatment with combinations of three compounds (viability/apoptosis dataset 2 of 2),"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28069687"" target = ""_blank"">28069687</a>","<a href = ""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017/"" target = ""_blank"">lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017</a>","The dose response of human melanoma cell lines to Vemurafenib in combination with Trametinib and a third compound was measured at 72 hr to determine their effects on apoptosis and viability. Cells were treated in 3 replicates using a Hewlett-Packard (HP) D300 Digital Dispenser with 4 combined doses of Vemurafenib/Trametinib (1:3.16 dilution ratios) and 1 or 3 doses of a third compound for 72 hr. To score viability and apoptosis, a dye-based imaging assay was used. The cell-permeable DNA dye Hoechst 33342 was used to mark all nuclei, and DEVD-NucView488 Caspase-3 substrate was used to mark the nuclei of cells undergoing apoptosis (i.e., in which caspase 3 is active).",,Microscopy/Imaging,,2016-12-22,2017-01-20
20274,Phosphorylation state and protein levels measured by imaging in BRAF(V600E/D) melanoma cell lines following treatment with combinations of two compounds (immunofluorescence dataset 1 of 4),"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28069687"" target = ""_blank"">28069687</a>","<a href = ""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017/"" target = ""_blank"">lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017</a>","Three human melanoma cell lines were treated in 2 replicates with Vemurafenib at 3 doses in combination with DMSO or 2 doses of 9 other compounds. This dataset presents the mean intensity measurements for 6 protein or phosphoprotein readouts (KI-67, Rb (pS807; pS811), NGFR, S6 (pS240; pS244), c-Jun, and c-Jun (pS73)) extracted from microscopy images across each condition.",,Microscopy/Imaging,,2016-12-22,2017-01-20
20275,Phosphorylation state and protein levels measured by imaging in BRAF(V600E/D) melanoma cell lines following treatment with combinations of two compounds (immunofluorescence dataset 2 of 4),"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28069687"" target = ""_blank"">28069687</a>","<a href = ""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017/"" target = ""_blank"">lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017</a>","Three human melanoma cell lines were treated in 2 replicates with Vemurafenib at 3 doses in combination with DMSO or 1 dose of 9 other compounds. This dataset presents the mean intensity measurements for 3 protein or phosphoprotein readouts (KI-67, Rb (pS807; pS811), and ERK-1 (pT202; pY204) / ERK-2 (pT185; pY187) extracted from microscopy images across each condition.",,Microscopy/Imaging,,2016-12-22,2017-01-20
20276,Protein levels measured by imaging in BRAF(V600E/D) melanoma cell lines following treatment with Vemurafenib in combination with chromatin-targeting compounds (immunofluorescence dataset 3 of 4),"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28069687"" target = ""_blank"">28069687</a>","<a href = ""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017/"" target = ""_blank"">lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017</a>",Three human melanoma cell lines were treated in 2 replicates with 1 dose of Vemurafenib in combination with DMSO or 3 doses of each of 41 compounds in a chromatin-targeting library (LINCS 3 Chromatin Targeting Library). This dataset presents the number of nuclei assayed and the mean intensity measurements for 2 protein readouts (KI-67 and NGFR) extracted from microscopy images across each condition.,,Microscopy/Imaging,,2016-12-22,2017-01-20
20277,Phosphorylation state and protein levels measured by imaging in BRAF(V600E/D) melanoma cell lines following treatment with combinations of two compounds (immunofluorescence dataset 4 of 4),"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28069687"" target = ""_blank"">28069687</a>","<a href = ""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017/"" target = ""_blank"">lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2017</a>","Three human melanoma cell lines were treated in 2 replicates with 5 doses of Vemurafenib in combination with DMSO or 1 dose of 5 other compounds. This dataset presents the mean intensity measurements for 5 protein and phosphoprotein readouts (KI-67, NGFR, S6 (pS240; pS244), ERK-1 (pT202; pY204) / ERK-2 (pT185; pY187), and c-Jun) extracted from microscopy images across each condition.",,Microscopy/Imaging,,2016-12-22,2017-01-20
