Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Normalized Growth Rate Inhibition Value,Standard Error of the Mean for Normalized Growth Rate Inhibition Value
50105-3,BT-20,10027-101-1,Crizotinib,0.12,uM,LJP5,0.9238,0.0127,0.9101,0.0135
50105-3,BT-20,10027-101-1,Crizotinib,0.37,uM,LJP5,0.8533,0.0035,0.8229,0.0086
50105-3,BT-20,10027-101-1,Crizotinib,1.11,uM,LJP5,0.7897,0.0102,0.7423,0.0176
50105-3,BT-20,10027-101-1,Crizotinib,3.33,uM,LJP5,0.5393,0.0690,0.3909,0.0968
50105-3,BT-20,10027-101-1,Crizotinib,10,uM,LJP5,0.2807,0.0085,-0.0468,0.0415
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,1.0054,0.0132,1.0070,0.0157
50105-3,BT-20,10028-102-1,BMS345541,0.12,uM,LJP6,0.9742,0.0268,0.9683,0.0319
50105-3,BT-20,10028-102-1,BMS345541,0.37,uM,LJP6,0.9607,0.0424,0.9521,0.0500
50105-3,BT-20,10028-102-1,BMS345541,1.11,uM,LJP6,0.8755,0.0574,0.8471,0.0694
50105-3,BT-20,10028-102-1,BMS345541,3.33,uM,LJP6,0.8216,0.0412,0.7780,0.0474
50105-3,BT-20,10028-102-1,BMS345541,10,uM,LJP6,0.3174,0.0727,-0.0083,0.1177
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,0.9757,0.0104,0.9713,0.0117
50105-3,BT-20,10031-101-1,KIN001-043,0.12,uM,LJP6,0.9518,0.0075,0.9406,0.0106
50105-3,BT-20,10031-101-1,KIN001-043,0.37,uM,LJP6,0.9597,0.0423,0.9467,0.0560
50105-3,BT-20,10031-101-1,KIN001-043,1.11,uM,LJP6,0.9745,0.0491,0.9636,0.0631
50105-3,BT-20,10031-101-1,KIN001-043,3.33,uM,LJP6,0.9643,0.0348,0.9570,0.0409
50105-3,BT-20,10031-101-1,KIN001-043,10,uM,LJP6,0.6013,0.0933,0.4701,0.1246
50105-3,BT-20,10032-101-1,Saracatinib,0.04,uM,LJP6,0.9951,0.0282,0.9934,0.0328
50105-3,BT-20,10032-101-1,Saracatinib,0.12,uM,LJP6,0.9543,0.0114,0.9441,0.0137
50105-3,BT-20,10032-101-1,Saracatinib,0.37,uM,LJP6,0.8992,0.0179,0.8768,0.0187
50105-3,BT-20,10032-101-1,Saracatinib,1.11,uM,LJP6,0.8268,0.0312,0.7847,0.0345
50105-3,BT-20,10032-101-1,Saracatinib,3.33,uM,LJP6,0.7049,0.0523,0.6214,0.0614
50105-3,BT-20,10032-101-1,Saracatinib,10,uM,LJP6,0.4641,0.0335,0.2599,0.0407
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,0.8599,0.0147,0.8310,0.0158
50105-3,BT-20,10035-101-1,Sigma A6730,0.12,uM,LJP5,0.8769,0.0078,0.8512,0.0149
50105-3,BT-20,10035-101-1,Sigma A6730,0.37,uM,LJP5,0.9327,0.0132,0.9207,0.0135
50105-3,BT-20,10035-101-1,Sigma A6730,1.11,uM,LJP5,0.8744,0.0052,0.8488,0.0085
50105-3,BT-20,10035-101-1,Sigma A6730,3.33,uM,LJP5,0.8933,0.0140,0.8724,0.0153
50105-3,BT-20,10035-101-1,Sigma A6730,10,uM,LJP5,0.4726,0.0095,0.2909,0.0303
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,0.9825,0.0203,0.9776,0.0240
50105-3,BT-20,10039-101-1,WH-4-025,0.12,uM,LJP5,0.7923,0.0405,0.7418,0.0533
50105-3,BT-20,10039-101-1,WH-4-025,0.37,uM,LJP5,0.6903,0.0257,0.6090,0.0377
50105-3,BT-20,10039-101-1,WH-4-025,1.11,uM,LJP5,0.4461,0.0584,0.2431,0.0943
50105-3,BT-20,10039-101-1,WH-4-025,3.33,uM,LJP5,0.3840,0.0649,0.1359,0.1114
50105-3,BT-20,10039-101-1,WH-4-025,10,uM,LJP5,0.1877,0.0108,-0.2465,0.0505
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,0.9883,0.0452,0.9808,0.0545
50105-3,BT-20,10040-101-1,R406,0.12,uM,LJP6,0.9790,0.0293,0.9708,0.0384
50105-3,BT-20,10040-101-1,R406,0.37,uM,LJP6,0.9788,0.0293,0.9723,0.0356
50105-3,BT-20,10040-101-1,R406,1.11,uM,LJP6,0.9754,0.0243,0.9690,0.0281
50105-3,BT-20,10040-101-1,R406,3.33,uM,LJP6,0.9436,0.0535,0.9339,0.0648
50105-3,BT-20,10040-101-1,R406,10,uM,LJP6,0.5812,0.1278,0.4358,0.1736
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,0.2301,0.0297,-0.1769,0.0868
50105-3,BT-20,10041-101-1,BI-2536,0.12,uM,LJP6,0.2193,0.0392,-0.2032,0.1103
50105-3,BT-20,10041-101-1,BI-2536,0.37,uM,LJP6,0.2211,0.0369,-0.1981,0.1009
50105-3,BT-20,10041-101-1,BI-2536,1.11,uM,LJP6,0.2370,0.0326,-0.1630,0.0932
50105-3,BT-20,10041-101-1,BI-2536,3.33,uM,LJP6,0.2457,0.0312,-0.1435,0.0840
50105-3,BT-20,10041-101-1,BI-2536,10,uM,LJP6,0.2492,0.0361,-0.1375,0.0985
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,0.6683,0.0755,0.5684,0.0994
50105-3,BT-20,10045-101-1,A443654,0.12,uM,LJP6,0.5383,0.1127,0.3717,0.1549
50105-3,BT-20,10045-101-1,A443654,0.37,uM,LJP6,0.3290,0.0937,0.0101,0.1507
50105-3,BT-20,10045-101-1,A443654,1.11,uM,LJP6,0.2363,0.0614,-0.1755,0.1121
50105-3,BT-20,10045-101-1,A443654,3.33,uM,LJP6,0.1820,0.0271,-0.2864,0.0542
50105-3,BT-20,10045-101-1,A443654,10,uM,LJP6,0.0999,0.0203,-0.5029,0.0860
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,1.0109,0.0258,1.0136,0.0310
50105-3,BT-20,10046-101-1,SB590885,0.12,uM,LJP5,0.9958,0.0154,0.9952,0.0178
50105-3,BT-20,10046-101-1,SB590885,0.37,uM,LJP5,1.0047,0.0170,1.0052,0.0195
50105-3,BT-20,10046-101-1,SB590885,1.11,uM,LJP5,0.9873,0.0137,0.9844,0.0159
50105-3,BT-20,10046-101-1,SB590885,3.33,uM,LJP5,1.0296,0.0111,1.0343,0.0124
50105-3,BT-20,10046-101-1,SB590885,10,uM,LJP5,0.8899,0.0061,0.8680,0.0067
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,0.7773,0.0217,0.7170,0.0306
50105-3,BT-20,10047-101-1,Pictilisib,0.12,uM,LJP6,0.7565,0.0305,0.6889,0.0386
50105-3,BT-20,10047-101-1,Pictilisib,0.37,uM,LJP6,0.6217,0.0756,0.5017,0.0953
50105-3,BT-20,10047-101-1,Pictilisib,1.11,uM,LJP6,0.4658,0.0811,0.2578,0.1117
50105-3,BT-20,10047-101-1,Pictilisib,3.33,uM,LJP6,0.3534,0.0441,0.0678,0.0565
50105-3,BT-20,10047-101-1,Pictilisib,10,uM,LJP6,0.2879,0.0264,-0.0560,0.0302
50105-3,BT-20,10048-101-1,PD184352,0.04,uM,LJP5,1.0407,0.0166,1.0453,0.0172
50105-3,BT-20,10048-101-1,PD184352,0.12,uM,LJP5,1.0279,0.0049,1.0322,0.0052
50105-3,BT-20,10048-101-1,PD184352,0.37,uM,LJP5,1.0050,0.0218,1.0054,0.0246
50105-3,BT-20,10048-101-1,PD184352,1.11,uM,LJP5,0.9888,0.0012,0.9868,0.0013
50105-3,BT-20,10048-101-1,PD184352,3.33,uM,LJP5,0.9570,0.0103,0.9501,0.0106
50105-3,BT-20,10048-101-1,PD184352,10,uM,LJP5,0.4751,0.0494,0.2892,0.1022
50105-3,BT-20,10049-101-1,PLX-4720,0.04,uM,LJP5,1.0119,0.0157,1.0144,0.0184
50105-3,BT-20,10049-101-1,PLX-4720,0.12,uM,LJP5,0.9895,0.0133,0.9878,0.0154
50105-3,BT-20,10049-101-1,PLX-4720,0.37,uM,LJP5,0.9643,0.0256,0.9591,0.0293
50105-3,BT-20,10049-101-1,PLX-4720,1.11,uM,LJP5,0.9011,0.0765,0.8821,0.0906
50105-3,BT-20,10049-101-1,PLX-4720,3.33,uM,LJP5,0.7450,0.0523,0.6849,0.0606
50105-3,BT-20,10049-101-1,PLX-4720,10,uM,LJP5,0.5489,0.0308,0.4090,0.0291
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,0.8832,0.0443,0.8565,0.0526
50105-3,BT-20,10051-104-1,Lapatinib,0.12,uM,LJP6,0.9627,0.0366,0.9565,0.0434
50105-3,BT-20,10051-104-1,Lapatinib,0.37,uM,LJP6,0.9705,0.0262,0.9651,0.0306
50105-3,BT-20,10051-104-1,Lapatinib,1.11,uM,LJP6,0.9906,0.0291,0.9905,0.0359
50105-3,BT-20,10051-104-1,Lapatinib,3.33,uM,LJP6,0.9636,0.0499,0.9582,0.0611
50105-3,BT-20,10051-104-1,Lapatinib,10,uM,LJP6,0.7989,0.0727,0.7495,0.0889
50105-3,BT-20,10052-101-1,Sirolimus,0.04,uM,LJP6,0.6475,0.0040,0.5397,0.0173
50105-3,BT-20,10052-101-1,Sirolimus,0.12,uM,LJP6,0.6302,0.0214,0.5141,0.0359
50105-3,BT-20,10052-101-1,Sirolimus,0.37,uM,LJP6,0.6351,0.0230,0.5218,0.0326
50105-3,BT-20,10052-101-1,Sirolimus,1.11,uM,LJP6,0.6370,0.0254,0.5242,0.0385
50105-3,BT-20,10052-101-1,Sirolimus,3.33,uM,LJP6,0.6456,0.0192,0.5362,0.0352
50105-3,BT-20,10052-101-1,Sirolimus,10,uM,LJP6,0.6806,0.0224,0.5874,0.0251
50105-3,BT-20,10053-101-1,ZSTK474,0.04,uM,LJP6,0.9760,0.0146,0.9708,0.0169
50105-3,BT-20,10053-101-1,ZSTK474,0.12,uM,LJP6,0.8812,0.0771,0.8554,0.0943
50105-3,BT-20,10053-101-1,ZSTK474,0.37,uM,LJP6,0.7022,0.1211,0.6146,0.1565
50105-3,BT-20,10053-101-1,ZSTK474,1.11,uM,LJP6,0.4372,0.0737,0.2106,0.1013
50105-3,BT-20,10053-101-1,ZSTK474,3.33,uM,LJP6,0.3600,0.0600,0.0764,0.0831
50105-3,BT-20,10053-101-1,ZSTK474,10,uM,LJP6,0.2821,0.0162,-0.0662,0.0143
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,0.9126,0.0072,0.8964,0.0051
50105-3,BT-20,10055-101-1,BX-912,0.12,uM,LJP5,0.9518,0.0176,0.9432,0.0199
50105-3,BT-20,10055-101-1,BX-912,0.37,uM,LJP5,0.9484,0.0145,0.9364,0.0194
50105-3,BT-20,10055-101-1,BX-912,1.11,uM,LJP5,0.9481,0.0164,0.9395,0.0182
50105-3,BT-20,10055-101-1,BX-912,3.33,uM,LJP5,0.8682,0.0584,0.8393,0.0712
50105-3,BT-20,10055-101-1,BX-912,10,uM,LJP5,0.5158,0.0406,0.3552,0.0772
50105-3,BT-20,10056-101-1,Selumetinib,0.04,uM,LJP6,1.0903,0.0406,1.1077,0.0484
50105-3,BT-20,10056-101-1,Selumetinib,0.12,uM,LJP6,1.0201,0.0469,1.0260,0.0569
50105-3,BT-20,10056-101-1,Selumetinib,0.37,uM,LJP6,1.0004,0.0290,0.9992,0.0341
50105-3,BT-20,10056-101-1,Selumetinib,1.11,uM,LJP6,1.0076,0.0297,1.0082,0.0350
50105-3,BT-20,10056-101-1,Selumetinib,3.33,uM,LJP6,0.9797,0.0452,0.9741,0.0534
50105-3,BT-20,10056-101-1,Selumetinib,10,uM,LJP6,0.9777,0.0394,0.9745,0.0468
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,0.9772,0.0420,0.9742,0.0500
50105-3,BT-20,10057-102-1,MK2206,0.12,uM,LJP6,0.9183,0.0564,0.9020,0.0673
50105-3,BT-20,10057-102-1,MK2206,0.37,uM,LJP6,0.7462,0.0611,0.6782,0.0737
50105-3,BT-20,10057-102-1,MK2206,1.11,uM,LJP6,0.6776,0.0790,0.5832,0.0995
50105-3,BT-20,10057-102-1,MK2206,3.33,uM,LJP6,0.5895,0.0877,0.4533,0.1142
50105-3,BT-20,10057-102-1,MK2206,10,uM,LJP6,0.3681,0.1043,0.0800,0.1674
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,0.9763,0.0243,0.9737,0.0288
50105-3,BT-20,10059-101-1,AZD-6482,0.12,uM,LJP5,0.9104,0.0392,0.8951,0.0454
50105-3,BT-20,10059-101-1,AZD-6482,0.37,uM,LJP5,0.8005,0.0324,0.7583,0.0341
50105-3,BT-20,10059-101-1,AZD-6482,1.11,uM,LJP5,0.6239,0.0418,0.5203,0.0451
50105-3,BT-20,10059-101-1,AZD-6482,3.33,uM,LJP5,0.4440,0.0410,0.2454,0.0464
50105-3,BT-20,10059-101-1,AZD-6482,10,uM,LJP5,0.2594,0.0272,-0.0918,0.0395
50105-3,BT-20,10061-101-1,NU7441,0.04,uM,LJP5,1.0498,0.0132,1.0568,0.0142
50105-3,BT-20,10061-101-1,NU7441,0.12,uM,LJP5,1.0165,0.0230,1.0193,0.0257
50105-3,BT-20,10061-101-1,NU7441,0.37,uM,LJP5,0.9990,0.0168,0.9978,0.0200
50105-3,BT-20,10061-101-1,NU7441,1.11,uM,LJP5,0.9664,0.0219,0.9583,0.0282
50105-3,BT-20,10061-101-1,NU7441,3.33,uM,LJP5,0.8782,0.0483,0.8533,0.0563
50105-3,BT-20,10061-101-1,NU7441,10,uM,LJP5,0.4572,0.0716,0.2630,0.0950
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,1.0066,0.0237,1.0074,0.0281
50105-3,BT-20,10063-102-1,OSI-027,0.12,uM,LJP6,0.8388,0.0471,0.8001,0.0553
50105-3,BT-20,10063-102-1,OSI-027,0.37,uM,LJP6,0.6992,0.0557,0.6128,0.0665
50105-3,BT-20,10063-102-1,OSI-027,1.11,uM,LJP6,0.6030,0.0440,0.4757,0.0516
50105-3,BT-20,10063-102-1,OSI-027,3.33,uM,LJP6,0.5059,0.0383,0.3271,0.0423
50105-3,BT-20,10063-102-1,OSI-027,10,uM,LJP6,0.3958,0.0242,0.1445,0.0308
50105-3,BT-20,10064-101-1,WYE-125132,0.04,uM,LJP6,0.6014,0.0776,0.4727,0.0999
50105-3,BT-20,10064-101-1,WYE-125132,0.12,uM,LJP6,0.4699,0.0500,0.2691,0.0639
50105-3,BT-20,10064-101-1,WYE-125132,0.37,uM,LJP6,0.4329,0.0382,0.2083,0.0484
50105-3,BT-20,10064-101-1,WYE-125132,1.11,uM,LJP6,0.3990,0.0301,0.1503,0.0368
50105-3,BT-20,10064-101-1,WYE-125132,3.33,uM,LJP6,0.3779,0.0302,0.1132,0.0436
50105-3,BT-20,10064-101-1,WYE-125132,10,uM,LJP6,0.3398,0.0326,0.0435,0.0495
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,0.8418,0.0530,0.8061,0.0644
50105-3,BT-20,10067-101-1,Barasertib,0.12,uM,LJP5,0.6688,0.0698,0.5746,0.0952
50105-3,BT-20,10067-101-1,Barasertib,0.37,uM,LJP5,0.5400,0.0364,0.3920,0.0696
50105-3,BT-20,10067-101-1,Barasertib,1.11,uM,LJP5,0.4355,0.0265,0.2284,0.0674
50105-3,BT-20,10067-101-1,Barasertib,3.33,uM,LJP5,0.3702,0.0320,0.1166,0.0818
50105-3,BT-20,10067-101-1,Barasertib,10,uM,LJP5,0.2926,0.0243,-0.0261,0.0712
50105-3,BT-20,10068-101-1,Vemurafenib,0.04,uM,LJP5,0.9774,0.0246,0.9713,0.0294
50105-3,BT-20,10068-101-1,Vemurafenib,0.12,uM,LJP5,0.9744,0.0247,0.9684,0.0298
50105-3,BT-20,10068-101-1,Vemurafenib,0.37,uM,LJP5,0.9695,0.0188,0.9644,0.0204
50105-3,BT-20,10068-101-1,Vemurafenib,1.11,uM,LJP5,0.9564,0.0294,0.9492,0.0329
50105-3,BT-20,10068-101-1,Vemurafenib,3.33,uM,LJP5,0.8923,0.0151,0.8705,0.0180
50105-3,BT-20,10068-101-1,Vemurafenib,10,uM,LJP5,0.6688,0.0183,0.5820,0.0186
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,1.0151,0.0493,1.0115,0.0598
50105-3,BT-20,10069-101-1,Enzastaurin,0.12,uM,LJP5,1.0290,0.0281,1.0303,0.0328
50105-3,BT-20,10069-101-1,Enzastaurin,0.37,uM,LJP5,1.0609,0.0224,1.0672,0.0251
50105-3,BT-20,10069-101-1,Enzastaurin,1.11,uM,LJP5,1.0618,0.0411,1.0688,0.0454
50105-3,BT-20,10069-101-1,Enzastaurin,3.33,uM,LJP5,1.1195,0.0320,1.1329,0.0331
50105-3,BT-20,10069-101-1,Enzastaurin,10,uM,LJP5,1.1691,0.0320,1.1898,0.0356
50105-3,BT-20,10071-101-1,Palbociclib,0.04,uM,LJP6,0.7295,0.0359,0.6535,0.0395
50105-3,BT-20,10071-101-1,Palbociclib,0.12,uM,LJP6,0.6417,0.0645,0.5305,0.0786
50105-3,BT-20,10071-101-1,Palbociclib,0.37,uM,LJP6,0.5614,0.0617,0.4115,0.0754
50105-3,BT-20,10071-101-1,Palbociclib,1.11,uM,LJP6,0.4854,0.0415,0.2945,0.0473
50105-3,BT-20,10071-101-1,Palbociclib,3.33,uM,LJP6,0.4723,0.0363,0.2730,0.0383
50105-3,BT-20,10071-101-1,Palbociclib,10,uM,LJP6,0.4254,0.0059,0.1960,0.0192
50105-3,BT-20,10072-101-1,PF562271,0.04,uM,LJP6,0.9357,0.0068,0.9211,0.0064
50105-3,BT-20,10072-101-1,PF562271,0.12,uM,LJP6,0.9021,0.0135,0.8786,0.0179
50105-3,BT-20,10072-101-1,PF562271,0.37,uM,LJP6,0.8493,0.0351,0.8145,0.0396
50105-3,BT-20,10072-101-1,PF562271,1.11,uM,LJP6,0.6778,0.0634,0.5831,0.0772
50105-3,BT-20,10072-101-1,PF562271,3.33,uM,LJP6,0.4297,0.0625,0.2008,0.0841
50105-3,BT-20,10072-101-1,PF562271,10,uM,LJP6,0.2131,0.0149,-0.2118,0.0409
50105-3,BT-20,10073-101-1,PHA-793887,0.04,uM,LJP6,0.6352,0.0321,0.5199,0.0488
50105-3,BT-20,10073-101-1,PHA-793887,0.12,uM,LJP6,0.5766,0.0289,0.4356,0.0273
50105-3,BT-20,10073-101-1,PHA-793887,0.37,uM,LJP6,0.4750,0.0468,0.2755,0.0562
50105-3,BT-20,10073-101-1,PHA-793887,1.11,uM,LJP6,0.3777,0.0504,0.1086,0.0663
50105-3,BT-20,10073-101-1,PHA-793887,3.33,uM,LJP6,0.3115,0.0366,-0.0127,0.0455
50105-3,BT-20,10073-101-1,PHA-793887,10,uM,LJP6,0.2106,0.0231,-0.2194,0.0704
50105-3,BT-20,10075-101-1,QL-X-138,0.04,uM,LJP6,0.7843,0.0257,0.7266,0.0302
50105-3,BT-20,10075-101-1,QL-X-138,0.12,uM,LJP6,0.7839,0.0223,0.7264,0.0268
50105-3,BT-20,10075-101-1,QL-X-138,0.37,uM,LJP6,0.7123,0.0548,0.6307,0.0645
50105-3,BT-20,10075-101-1,QL-X-138,1.11,uM,LJP6,0.6445,0.0765,0.5354,0.0961
50105-3,BT-20,10075-101-1,QL-X-138,3.33,uM,LJP6,0.5415,0.0784,0.3810,0.1035
50105-3,BT-20,10075-101-1,QL-X-138,10,uM,LJP6,0.2085,0.0131,-0.2216,0.0305
50105-3,BT-20,10077-101-1,QL-XII-47,0.04,uM,LJP6,0.7454,0.1238,0.6693,0.1648
50105-3,BT-20,10077-101-1,QL-XII-47,0.12,uM,LJP6,0.7085,0.1307,0.6177,0.1782
50105-3,BT-20,10077-101-1,QL-XII-47,0.37,uM,LJP6,0.5268,0.1092,0.3514,0.1590
50105-3,BT-20,10077-101-1,QL-XII-47,1.11,uM,LJP6,0.3575,0.0853,0.0671,0.1318
50105-3,BT-20,10077-101-1,QL-XII-47,3.33,uM,LJP6,0.2495,0.0324,-0.1347,0.0443
50105-3,BT-20,10077-101-1,QL-XII-47,10,uM,LJP6,0.1931,0.0222,-0.2585,0.0528
50105-3,BT-20,10079-101-1,Torin1,0.04,uM,LJP6,0.4702,0.0389,0.2706,0.0438
50105-3,BT-20,10079-101-1,Torin1,0.12,uM,LJP6,0.3767,0.0360,0.1104,0.0468
50105-3,BT-20,10079-101-1,Torin1,0.37,uM,LJP6,0.3229,0.0264,0.0128,0.0311
50105-3,BT-20,10079-101-1,Torin1,1.11,uM,LJP6,0.2812,0.0217,-0.0682,0.0189
50105-3,BT-20,10079-101-1,Torin1,3.33,uM,LJP6,0.2405,0.0186,-0.1522,0.0143
50105-3,BT-20,10079-101-1,Torin1,10,uM,LJP6,0.1957,0.0068,-0.2506,0.0151
50105-3,BT-20,10080-101-1,Torin2,0.04,uM,LJP5,0.2935,0.0208,-0.0219,0.0264
50105-3,BT-20,10080-101-1,Torin2,0.12,uM,LJP5,0.2692,0.0154,-0.0695,0.0121
50105-3,BT-20,10080-101-1,Torin2,0.37,uM,LJP5,0.2419,0.0225,-0.1278,0.0447
50105-3,BT-20,10080-101-1,Torin2,1.11,uM,LJP5,0.2004,0.0195,-0.2181,0.0466
50105-3,BT-20,10080-101-1,Torin2,3.33,uM,LJP5,0.1706,0.0092,-0.2866,0.0447
50105-3,BT-20,10080-101-1,Torin2,10,uM,LJP5,0.1864,0.0181,-0.2511,0.0575
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,0.8299,0.0288,0.7875,0.0340
50105-3,BT-20,10082-101-1,WZ-4-145,0.12,uM,LJP6,0.8809,0.0443,0.8552,0.0520
50105-3,BT-20,10082-101-1,WZ-4-145,0.37,uM,LJP6,0.8658,0.0798,0.8361,0.0977
50105-3,BT-20,10082-101-1,WZ-4-145,1.11,uM,LJP6,0.7865,0.0994,0.7302,0.1268
50105-3,BT-20,10082-101-1,WZ-4-145,3.33,uM,LJP6,0.7594,0.1087,0.6934,0.1404
50105-3,BT-20,10082-101-1,WZ-4-145,10,uM,LJP6,0.4640,0.0792,0.2558,0.1129
50105-3,BT-20,10084-101-1,WZ3105,0.04,uM,LJP5,0.4327,0.0304,0.2228,0.0749
50105-3,BT-20,10084-101-1,WZ3105,0.12,uM,LJP5,0.3358,0.0339,0.0547,0.0839
50105-3,BT-20,10084-101-1,WZ3105,0.37,uM,LJP5,0.2796,0.0373,-0.0538,0.1004
50105-3,BT-20,10084-101-1,WZ3105,1.11,uM,LJP5,0.2081,0.0417,-0.2066,0.1100
50105-3,BT-20,10084-101-1,WZ3105,3.33,uM,LJP5,0.1870,0.0337,-0.2528,0.1020
50105-3,BT-20,10084-101-1,WZ3105,10,uM,LJP5,0.1564,0.0316,-0.3280,0.1074
50105-3,BT-20,10086-101-1,XMD11-50,0.04,uM,LJP6,0.9047,0.0533,0.8852,0.0638
50105-3,BT-20,10086-101-1,XMD11-50,0.12,uM,LJP6,0.8772,0.0760,0.8497,0.0926
50105-3,BT-20,10086-101-1,XMD11-50,0.37,uM,LJP6,0.8404,0.0755,0.8032,0.0927
50105-3,BT-20,10086-101-1,XMD11-50,1.11,uM,LJP6,0.7786,0.0786,0.7223,0.0970
50105-3,BT-20,10086-101-1,XMD11-50,3.33,uM,LJP6,0.6546,0.0584,0.5511,0.0707
50105-3,BT-20,10086-101-1,XMD11-50,10,uM,LJP6,0.4519,0.0644,0.2377,0.0874
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,0.8256,0.0337,0.7830,0.0390
50105-3,BT-20,10087-101-1,XMD11-85h,0.12,uM,LJP6,0.9552,0.0491,0.9475,0.0592
50105-3,BT-20,10087-101-1,XMD11-85h,0.37,uM,LJP6,0.9433,0.0687,0.9332,0.0832
50105-3,BT-20,10087-101-1,XMD11-85h,1.11,uM,LJP6,0.9450,0.0513,0.9357,0.0617
50105-3,BT-20,10087-101-1,XMD11-85h,3.33,uM,LJP6,0.9075,0.0507,0.8880,0.0605
50105-3,BT-20,10087-101-1,XMD11-85h,10,uM,LJP6,0.7884,0.0704,0.7342,0.0860
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,0.8689,0.0879,0.8423,0.1050
50105-3,BT-20,10091-101-1,XMD16-144,0.12,uM,LJP5,0.5485,0.0740,0.4041,0.1037
50105-3,BT-20,10091-101-1,XMD16-144,0.37,uM,LJP5,0.3555,0.0142,0.0933,0.0426
50105-3,BT-20,10091-101-1,XMD16-144,1.11,uM,LJP5,0.3335,0.0232,0.0521,0.0693
50105-3,BT-20,10091-101-1,XMD16-144,3.33,uM,LJP5,0.3310,0.0151,0.0487,0.0531
50105-3,BT-20,10091-101-1,XMD16-144,10,uM,LJP5,0.2669,0.0351,-0.0790,0.0951
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,0.8841,0.0148,0.8614,0.0145
50105-3,BT-20,10097-101-1,Erlotinib,0.12,uM,LJP5,0.8972,0.0262,0.8792,0.0282
50105-3,BT-20,10097-101-1,Erlotinib,0.37,uM,LJP5,0.9154,0.0346,0.9016,0.0390
50105-3,BT-20,10097-101-1,Erlotinib,1.11,uM,LJP5,0.8609,0.0184,0.8336,0.0183
50105-3,BT-20,10097-101-1,Erlotinib,3.33,uM,LJP5,0.8783,0.0269,0.8559,0.0285
50105-3,BT-20,10097-101-1,Erlotinib,10,uM,LJP5,0.6454,0.0150,0.5474,0.0330
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,1.0323,0.0365,1.0401,0.0436
50105-3,BT-20,10098-101-1,Gefitinib,0.12,uM,LJP6,0.9723,0.0523,0.9684,0.0625
50105-3,BT-20,10098-101-1,Gefitinib,0.37,uM,LJP6,0.9494,0.0257,0.9396,0.0296
50105-3,BT-20,10098-101-1,Gefitinib,1.11,uM,LJP6,0.9247,0.0369,0.9094,0.0433
50105-3,BT-20,10098-101-1,Gefitinib,3.33,uM,LJP6,0.8996,0.0260,0.8780,0.0288
50105-3,BT-20,10098-101-1,Gefitinib,10,uM,LJP6,0.8083,0.0556,0.7617,0.0660
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,1.0030,0.0220,1.0031,0.0251
50105-3,BT-20,10099-101-1,Nilotinib,0.12,uM,LJP5,1.0098,0.0223,1.0110,0.0252
50105-3,BT-20,10099-101-1,Nilotinib,0.37,uM,LJP5,1.0151,0.0182,1.0187,0.0226
50105-3,BT-20,10099-101-1,Nilotinib,1.11,uM,LJP5,0.9957,0.0210,0.9956,0.0248
50105-3,BT-20,10099-101-1,Nilotinib,3.33,uM,LJP5,1.0015,0.0188,1.0031,0.0226
50105-3,BT-20,10099-101-1,Nilotinib,10,uM,LJP5,0.3153,0.0286,0.0181,0.0569
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,0.8493,0.0247,0.8139,0.0262
50105-3,BT-20,10100-101-1,JNK-9L,0.12,uM,LJP6,0.8341,0.0456,0.7952,0.0541
50105-3,BT-20,10100-101-1,JNK-9L,0.37,uM,LJP6,0.6829,0.1171,0.5882,0.1516
50105-3,BT-20,10100-101-1,JNK-9L,1.11,uM,LJP6,0.4497,0.1464,0.2162,0.2183
50105-3,BT-20,10100-101-1,JNK-9L,3.33,uM,LJP6,0.3312,0.0704,0.0217,0.1064
