Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Units,Timepoint,Timepoint Units,Measured pERK (Alexa 488),Measured p-Rb (Alexa 568),Alexa Fluor 647,Measured p-Akt/p-4EBP1/p-S6 (Alexa 647),Image
10172-101-2,GSK1059615,50583-5,MCF 10A,3.16,nM,24,hr,295.07,128.13,p-Akt,36.06,349900
10057-102-1,MK2206,50583-5,MCF 10A,3.16,nM,6,hr,367.98,149.68,p-Akt,38.17,336599
10057-102-1,MK2206,50583-5,MCF 10A,3.16,nM,24,hr,261.70,136.39,p-Akt,33.76,350395
10280-999-2,Triciribine,50583-5,MCF 10A,3.16,nM,6,hr,369.63,150.94,p-Akt,38.31,337606
10280-999-2,Triciribine,50583-5,MCF 10A,3.16,nM,24,hr,240.51,127.13,p-Akt,30.95,347803
10232-101-2,Dactolisib,50583-5,MCF 10A,3.16,nM,6,hr,341.01,143.37,p-Akt,32.48,335401
10232-101-2,Dactolisib,50583-5,MCF 10A,3.16,nM,24,hr,238.10,132.70,p-Akt,28.38,348316
10098-101-2,Gefitinib,50541-2,T47D,3.16,nM,6,hr,175.01,94.61,p-Akt,101.23,337652
10098-101-2,Gefitinib,50541-2,T47D,3.16,nM,24,hr,161.75,107.53,p-Akt,77.43,352006
10345-999-1,Torkinib,50541-2,T47D,0.422,nM,6,hr,176.07,86.72,p-Akt,75.19,339055
10345-999-1,Torkinib,50541-2,T47D,0.422,nM,24,hr,158.96,96.96,p-Akt,55.13,352547
10172-101-2,GSK1059615,50541-2,T47D,3.16,nM,6,hr,184.41,88.09,p-Akt,94.58,339659
10172-101-2,GSK1059615,50541-2,T47D,3.16,nM,24,hr,160.94,91.56,p-Akt,64.77,353015
10057-102-1,MK2206,50541-2,T47D,3.16,nM,6,hr,94.76,36.38,p-Akt,11.53,340181
10057-102-1,MK2206,50541-2,T47D,3.16,nM,24,hr,165.97,97.23,p-Akt,50.67,353761
10280-999-2,Triciribine,50541-2,T47D,3.16,nM,6,hr,99.80,56.12,p-Akt,19.64,340576
10280-999-2,Triciribine,50541-2,T47D,3.16,nM,24,hr,155.67,91.70,p-Akt,61.29,350639
10232-101-2,Dactolisib,50541-2,T47D,3.16,nM,6,hr,101.85,62.11,p-Akt,17.35,338353
10232-101-2,Dactolisib,50541-2,T47D,3.16,nM,24,hr,149.56,95.04,p-Akt,40.60,351161
10098-101-2,Gefitinib,50091-2,AU565,10.0,nM,6,hr,313.57,67.91,p-Akt,32.33,328390
10098-101-2,Gefitinib,50091-2,AU565,10.0,nM,24,hr,588.35,123.02,p-Akt,145.47,342376
10345-999-1,Torkinib,50091-2,AU565,1.78,nM,6,hr,268.73,51.04,p-Akt,19.40,329398
10345-999-1,Torkinib,50091-2,AU565,1.78,nM,24,hr,469.76,104.61,p-Akt,74.05,342880
10172-101-2,GSK1059615,50091-2,AU565,10.0,nM,6,hr,392.75,84.73,p-Akt,40.60,329686
10172-101-2,GSK1059615,50091-2,AU565,10.0,nM,24,hr,474.17,114.89,p-Akt,84.77,343339
10057-102-1,MK2206,50091-2,AU565,10.0,nM,6,hr,400.16,81.54,p-Akt,34.73,330542
10057-102-1,MK2206,50091-2,AU565,10.0,nM,24,hr,408.17,116.09,p-Akt,54.77,343870
10280-999-2,Triciribine,50091-2,AU565,10.0,nM,6,hr,253.31,66.34,p-Akt,19.84,330785
10280-999-2,Triciribine,50091-2,AU565,10.0,nM,24,hr,534.07,122.93,p-Akt,101.43,341413
10232-101-2,Dactolisib,50091-2,AU565,10.0,nM,6,hr,261.82,58.53,p-Akt,20.86,328490
10232-101-2,Dactolisib,50091-2,AU565,10.0,nM,24,hr,502.62,93.94,p-Akt,79.66,341891
10098-101-2,Gefitinib,50213-2,HCC1954,10.0,nM,6,hr,313.80,78.00,p-Akt,32.80,354320
10098-101-2,Gefitinib,50213-2,HCC1954,10.0,nM,24,hr,309.05,123.62,p-Akt,79.39,345527
10345-999-1,Torkinib,50213-2,HCC1954,1.78,nM,6,hr,242.69,61.93,p-Akt,24.56,355435
10345-999-1,Torkinib,50213-2,HCC1954,1.78,nM,24,hr,275.43,109.55,p-Akt,57.56,345868
10172-101-2,GSK1059615,50213-2,HCC1954,10.0,nM,6,hr,469.32,101.00,p-Akt,64.80,355625
10172-101-2,GSK1059615,50213-2,HCC1954,10.0,nM,24,hr,354.94,111.51,p-Akt,64.33,346498
10057-102-1,MK2206,50213-2,HCC1954,10.0,nM,6,hr,282.65,82.14,p-Akt,25.78,356183
10057-102-1,MK2206,50213-2,HCC1954,10.0,nM,24,hr,302.34,113.64,p-Akt,47.58,347102
10280-999-2,Triciribine,50213-2,HCC1954,10.0,nM,6,hr,236.96,79.74,p-Akt,39.32,356552
10280-999-2,Triciribine,50213-2,HCC1954,10.0,nM,24,hr,290.45,102.11,p-Akt,53.04,344537
10232-101-2,Dactolisib,50213-2,HCC1954,10.0,nM,6,hr,192.04,59.35,p-Akt,27.50,354814
10232-101-2,Dactolisib,50213-2,HCC1954,10.0,nM,24,hr,259.87,90.98,p-Akt,60.69,344798
10098-101-2,Gefitinib,50583-5,MCF 10A,10.0,nM,6,hr,407.34,172.62,p-Akt,42.11,334780
10098-101-2,Gefitinib,50583-5,MCF 10A,10.0,nM,24,hr,322.66,158.49,p-Akt,38.54,348766
10345-999-1,Torkinib,50583-5,MCF 10A,1.78,nM,6,hr,458.96,166.90,p-Akt,40.68,335591
10345-999-1,Torkinib,50583-5,MCF 10A,1.78,nM,24,hr,344.89,145.25,p-Akt,35.23,349019
10172-101-2,GSK1059615,50583-5,MCF 10A,10.0,nM,6,hr,416.96,171.76,p-Akt,38.13,336338
10172-101-2,GSK1059615,50583-5,MCF 10A,10.0,nM,24,hr,306.91,140.32,p-Akt,31.96,350035
10057-102-1,MK2206,50583-5,MCF 10A,10.0,nM,6,hr,379.78,154.15,p-Akt,32.94,336617
10057-102-1,MK2206,50583-5,MCF 10A,10.0,nM,24,hr,298.59,144.01,p-Akt,29.48,350296
10280-999-2,Triciribine,50583-5,MCF 10A,10.0,nM,6,hr,380.71,155.18,p-Akt,33.02,337336
10280-999-2,Triciribine,50583-5,MCF 10A,10.0,nM,24,hr,252.44,141.63,p-Akt,25.75,347471
10232-101-2,Dactolisib,50583-5,MCF 10A,10.0,nM,6,hr,346.24,150.32,p-Akt,33.45,335122
10232-101-2,Dactolisib,50583-5,MCF 10A,10.0,nM,24,hr,239.96,138.65,p-Akt,26.46,348406
10098-101-2,Gefitinib,50541-2,T47D,10.0,nM,6,hr,179.23,94.94,p-Akt,102.93,338029
10098-101-2,Gefitinib,50541-2,T47D,10.0,nM,24,hr,165.83,104.92,p-Akt,78.43,351692
10345-999-1,Torkinib,50541-2,T47D,1.78,nM,6,hr,176.33,81.25,p-Akt,63.03,338786
10345-999-1,Torkinib,50541-2,T47D,1.78,nM,24,hr,158.31,90.25,p-Akt,46.79,352475
10172-101-2,GSK1059615,50541-2,T47D,10.0,nM,6,hr,162.70,85.51,p-Akt,87.75,339326
10172-101-2,GSK1059615,50541-2,T47D,10.0,nM,24,hr,160.21,92.33,p-Akt,59.32,352889
10057-102-1,MK2206,50541-2,T47D,10.0,nM,6,hr,94.04,32.48,p-Akt,9.35,340019
10057-102-1,MK2206,50541-2,T47D,10.0,nM,24,hr,156.26,91.80,p-Akt,37.50,353752
10280-999-2,Triciribine,50541-2,T47D,10.0,nM,6,hr,105.56,58.87,p-Akt,19.98,340702
10280-999-2,Triciribine,50541-2,T47D,10.0,nM,24,hr,168.74,97.33,p-Akt,59.12,350810
10232-101-2,Dactolisib,50541-2,T47D,10.0,nM,6,hr,105.88,55.02,p-Akt,13.40,338515
10232-101-2,Dactolisib,50541-2,T47D,10.0,nM,24,hr,140.23,84.77,p-Akt,33.74,351377
10098-101-2,Gefitinib,50091-2,AU565,31.6,nM,6,hr,286.23,60.88,p-Akt,29.80,328112
10098-101-2,Gefitinib,50091-2,AU565,31.6,nM,24,hr,529.81,117.15,p-Akt,139.91,342161
10345-999-1,Torkinib,50091-2,AU565,7.5,nM,6,hr,240.99,44.76,p-Akt,15.24,329443
10345-999-1,Torkinib,50091-2,AU565,7.5,nM,24,hr,441.84,88.60,p-Akt,51.74,342745
10172-101-2,GSK1059615,50091-2,AU565,31.6,nM,6,hr,274.09,69.05,p-Akt,27.94,329830
10172-101-2,GSK1059615,50091-2,AU565,31.6,nM,24,hr,500.89,114.20,p-Akt,81.59,343231
10057-102-1,MK2206,50091-2,AU565,31.6,nM,6,hr,395.87,81.88,p-Akt,27.47,330299
10057-102-1,MK2206,50091-2,AU565,31.6,nM,24,hr,401.33,107.98,p-Akt,41.61,343753
10280-999-2,Triciribine,50091-2,AU565,31.6,nM,6,hr,286.47,69.09,p-Akt,20.40,331072
10280-999-2,Triciribine,50091-2,AU565,31.6,nM,24,hr,529.95,113.46,p-Akt,82.44,341215
10232-101-2,Dactolisib,50091-2,AU565,31.6,nM,6,hr,198.09,39.02,p-Akt,14.31,328859
10232-101-2,Dactolisib,50091-2,AU565,31.6,nM,24,hr,459.58,74.34,p-Akt,46.97,341558
10098-101-2,Gefitinib,50213-2,HCC1954,31.6,nM,6,hr,188.14,53.26,p-Akt,25.31,354032
10098-101-2,Gefitinib,50213-2,HCC1954,31.6,nM,24,hr,282.36,116.35,p-Akt,78.62,345464
10345-999-1,Torkinib,50213-2,HCC1954,7.5,nM,6,hr,189.93,35.55,p-Akt,16.14,355219
10345-999-1,Torkinib,50213-2,HCC1954,7.5,nM,24,hr,283.38,100.32,p-Akt,46.18,346156
10172-101-2,GSK1059615,50213-2,HCC1954,31.6,nM,6,hr,453.20,97.17,p-Akt,46.95,355670
10172-101-2,GSK1059615,50213-2,HCC1954,31.6,nM,24,hr,303.54,102.79,p-Akt,53.54,346741
10057-102-1,MK2206,50213-2,HCC1954,31.6,nM,6,hr,241.19,75.59,p-Akt,18.23,356066
10057-102-1,MK2206,50213-2,HCC1954,31.6,nM,24,hr,300.94,112.09,p-Akt,37.43,346931
10280-999-2,Triciribine,50213-2,HCC1954,31.6,nM,6,hr,244.04,84.91,p-Akt,40.97,356579
10280-999-2,Triciribine,50213-2,HCC1954,31.6,nM,24,hr,304.02,110.08,p-Akt,48.96,344653
10232-101-2,Dactolisib,50213-2,HCC1954,31.6,nM,6,hr,184.53,45.81,p-Akt,19.34,354401
10232-101-2,Dactolisib,50213-2,HCC1954,31.6,nM,24,hr,272.16,82.67,p-Akt,36.70,344987
10098-101-2,Gefitinib,50583-5,MCF 10A,31.6,nM,6,hr,393.64,166.61,p-Akt,39.04,334942
10098-101-2,Gefitinib,50583-5,MCF 10A,31.6,nM,24,hr,298.39,151.27,p-Akt,32.88,348577
10345-999-1,Torkinib,50583-5,MCF 10A,7.5,nM,6,hr,476.93,164.79,p-Akt,37.69,335816
10345-999-1,Torkinib,50583-5,MCF 10A,7.5,nM,24,hr,389.81,147.59,p-Akt,33.47,349172
10172-101-2,GSK1059615,50583-5,MCF 10A,31.6,nM,6,hr,388.64,176.09,p-Akt,33.94,336293
10172-101-2,GSK1059615,50583-5,MCF 10A,31.6,nM,24,hr,299.42,136.42,p-Akt,25.28,349648
10057-102-1,MK2206,50583-5,MCF 10A,31.6,nM,6,hr,369.88,149.56,p-Akt,28.88,337012
10057-102-1,MK2206,50583-5,MCF 10A,31.6,nM,24,hr,262.25,147.81,p-Akt,24.11,350575
10280-999-2,Triciribine,50583-5,MCF 10A,31.6,nM,6,hr,372.05,150.92,p-Akt,29.10,337354
10280-999-2,Triciribine,50583-5,MCF 10A,31.6,nM,24,hr,247.73,138.98,p-Akt,22.03,347399
10232-101-2,Dactolisib,50583-5,MCF 10A,31.6,nM,6,hr,352.90,132.19,p-Akt,28.66,334952
10232-101-2,Dactolisib,50583-5,MCF 10A,31.6,nM,24,hr,251.26,134.38,p-Akt,22.34,348217
10098-101-2,Gefitinib,50541-2,T47D,31.6,nM,6,hr,170.27,94.43,p-Akt,100.21,337750
10098-101-2,Gefitinib,50541-2,T47D,31.6,nM,24,hr,159.41,102.87,p-Akt,74.63,351988
10345-999-1,Torkinib,50541-2,T47D,7.5,nM,6,hr,171.51,80.43,p-Akt,46.98,339082
10345-999-1,Torkinib,50541-2,T47D,7.5,nM,24,hr,138.86,70.27,p-Akt,34.18,352331
10172-101-2,GSK1059615,50541-2,T47D,31.6,nM,6,hr,170.36,83.95,p-Akt,77.52,339560
10172-101-2,GSK1059615,50541-2,T47D,31.6,nM,24,hr,166.47,90.54,p-Akt,46.81,352853
10057-102-1,MK2206,50541-2,T47D,31.6,nM,6,hr,95.85,34.35,p-Akt,8.13,339830
10057-102-1,MK2206,50541-2,T47D,31.6,nM,24,hr,148.65,79.91,p-Akt,25.94,353312
10280-999-2,Triciribine,50541-2,T47D,31.6,nM,6,hr,99.99,51.97,p-Akt,15.00,340801
10280-999-2,Triciribine,50541-2,T47D,31.6,nM,24,hr,170.55,95.55,p-Akt,51.77,350675
10232-101-2,Dactolisib,50541-2,T47D,31.6,nM,6,hr,84.81,35.55,p-Akt,8.51,338506
10232-101-2,Dactolisib,50541-2,T47D,31.6,nM,24,hr,115.24,48.85,p-Akt,25.43,351485
10098-101-2,Gefitinib,50091-2,AU565,100.0,nM,6,hr,256.41,58.17,p-Akt,25.26,327995
10098-101-2,Gefitinib,50091-2,AU565,100.0,nM,24,hr,487.81,111.78,p-Akt,128.85,342448
10345-999-1,Torkinib,50091-2,AU565,31.6,nM,6,hr,308.58,54.18,p-Akt,15.29,329309
10345-999-1,Torkinib,50091-2,AU565,31.6,nM,24,hr,411.83,71.19,p-Akt,32.74,342943
10172-101-2,GSK1059615,50091-2,AU565,100.0,nM,6,hr,358.29,80.75,p-Akt,38.55,329597
10172-101-2,GSK1059615,50091-2,AU565,100.0,nM,24,hr,503.48,100.73,p-Akt,73.85,343555
10057-102-1,MK2206,50091-2,AU565,100.0,nM,6,hr,364.01,73.26,p-Akt,18.17,330353
10057-102-1,MK2206,50091-2,AU565,100.0,nM,24,hr,383.72,87.26,p-Akt,30.79,343996
10280-999-2,Triciribine,50091-2,AU565,100.0,nM,6,hr,255.98,65.84,p-Akt,18.08,330884
10280-999-2,Triciribine,50091-2,AU565,100.0,nM,24,hr,552.62,106.48,p-Akt,64.22,341161
10232-101-2,Dactolisib,50091-2,AU565,100.0,nM,6,hr,295.45,58.66,p-Akt,15.40,328823
10232-101-2,Dactolisib,50091-2,AU565,100.0,nM,24,hr,469.99,63.40,p-Akt,26.02,341900
10098-101-2,Gefitinib,50213-2,HCC1954,100.0,nM,6,hr,164.98,48.76,p-Akt,23.52,354203
10098-101-2,Gefitinib,50213-2,HCC1954,100.0,nM,24,hr,275.32,116.64,p-Akt,73.65,345554
10345-999-1,Torkinib,50213-2,HCC1954,31.6,nM,6,hr,162.33,28.59,p-Akt,14.31,355255
10345-999-1,Torkinib,50213-2,HCC1954,31.6,nM,24,hr,263.14,91.22,p-Akt,39.45,346246
10172-101-2,GSK1059615,50213-2,HCC1954,100.0,nM,6,hr,490.88,99.06,p-Akt,52.56,355859
10172-101-2,GSK1059615,50213-2,HCC1954,100.0,nM,24,hr,293.77,91.79,p-Akt,37.28,346804
10057-102-1,MK2206,50213-2,HCC1954,100.0,nM,6,hr,262.18,79.74,p-Akt,17.08,356425
10057-102-1,MK2206,50213-2,HCC1954,100.0,nM,24,hr,290.05,108.17,p-Akt,25.98,347263
10280-999-2,Triciribine,50213-2,HCC1954,100.0,nM,6,hr,264.27,86.96,p-Akt,36.18,356606
10280-999-2,Triciribine,50213-2,HCC1954,100.0,nM,24,hr,258.77,99.98,p-Akt,36.63,344312
10232-101-2,Dactolisib,50213-2,HCC1954,100.0,nM,6,hr,173.90,40.33,p-Akt,15.09,354616
10232-101-2,Dactolisib,50213-2,HCC1954,100.0,nM,24,hr,266.80,76.28,p-Akt,22.00,344861
10098-101-2,Gefitinib,50583-5,MCF 10A,100.0,nM,6,hr,355.82,167.25,p-Akt,37.59,334619
10098-101-2,Gefitinib,50583-5,MCF 10A,100.0,nM,24,hr,326.57,166.48,p-Akt,33.50,348452
10345-999-1,Torkinib,50583-5,MCF 10A,31.6,nM,6,hr,486.89,163.76,p-Akt,30.21,335492
10345-999-1,Torkinib,50583-5,MCF 10A,31.6,nM,24,hr,419.53,153.85,p-Akt,24.13,349217
10172-101-2,GSK1059615,50583-5,MCF 10A,100.0,nM,6,hr,347.86,165.88,p-Akt,27.61,336419
10172-101-2,GSK1059615,50583-5,MCF 10A,100.0,nM,24,hr,277.04,142.43,p-Akt,20.80,350026
10057-102-1,MK2206,50583-5,MCF 10A,100.0,nM,6,hr,373.61,148.49,p-Akt,24.10,336670
10057-102-1,MK2206,50583-5,MCF 10A,100.0,nM,24,hr,274.43,146.05,p-Akt,20.16,350539
10280-999-2,Triciribine,50583-5,MCF 10A,100.0,nM,6,hr,376.35,149.47,p-Akt,24.23,337453
10280-999-2,Triciribine,50583-5,MCF 10A,100.0,nM,24,hr,251.10,142.37,p-Akt,17.85,347417
10232-101-2,Dactolisib,50583-5,MCF 10A,100.0,nM,6,hr,366.31,125.98,p-Akt,21.89,335428
10232-101-2,Dactolisib,50583-5,MCF 10A,100.0,nM,24,hr,312.16,90.13,p-Akt,16.35,348361
10098-101-2,Gefitinib,50541-2,T47D,100.0,nM,6,hr,158.04,90.93,p-Akt,93.71,337840
10098-101-2,Gefitinib,50541-2,T47D,100.0,nM,24,hr,150.12,101.21,p-Akt,72.97,352042
10345-999-1,Torkinib,50541-2,T47D,31.6,nM,6,hr,162.54,75.76,p-Akt,31.83,338938
10345-999-1,Torkinib,50541-2,T47D,31.6,nM,24,hr,127.17,45.02,p-Akt,24.28,352358
10172-101-2,GSK1059615,50541-2,T47D,100.0,nM,6,hr,170.60,81.49,p-Akt,64.01,339802
10172-101-2,GSK1059615,50541-2,T47D,100.0,nM,24,hr,153.22,70.14,p-Akt,38.11,353078
10057-102-1,MK2206,50541-2,T47D,100.0,nM,6,hr,97.74,36.32,p-Akt,6.68,339875
10057-102-1,MK2206,50541-2,T47D,100.0,nM,24,hr,141.16,71.21,p-Akt,19.39,353330
10280-999-2,Triciribine,50541-2,T47D,100.0,nM,6,hr,111.67,49.88,p-Akt,12.75,340378
10280-999-2,Triciribine,50541-2,T47D,100.0,nM,24,hr,171.25,79.24,p-Akt,41.68,350783
10232-101-2,Dactolisib,50541-2,T47D,100.0,nM,6,hr,84.56,34.41,p-Akt,6.52,338587
10232-101-2,Dactolisib,50541-2,T47D,100.0,nM,24,hr,109.86,40.91,p-Akt,18.28,351458
10098-101-2,Gefitinib,50091-2,AU565,316.0,nM,6,hr,228.71,57.03,p-Akt,21.72,327932
10098-101-2,Gefitinib,50091-2,AU565,316.0,nM,24,hr,455.36,96.01,p-Akt,108.37,342251
10345-999-1,Torkinib,50091-2,AU565,133.0,nM,6,hr,385.95,63.98,p-Akt,16.41,329165
10345-999-1,Torkinib,50091-2,AU565,133.0,nM,24,hr,379.56,63.49,p-Akt,23.33,342521
10172-101-2,GSK1059615,50091-2,AU565,316.0,nM,6,hr,331.92,66.44,p-Akt,28.81,329606
10172-101-2,GSK1059615,50091-2,AU565,316.0,nM,24,hr,509.13,83.17,p-Akt,50.75,343330
10057-102-1,MK2206,50091-2,AU565,316.0,nM,6,hr,363.52,69.11,p-Akt,16.75,330245
10057-102-1,MK2206,50091-2,AU565,316.0,nM,24,hr,365.78,79.62,p-Akt,23.37,343717
10280-999-2,Triciribine,50091-2,AU565,316.0,nM,6,hr,257.75,64.29,p-Akt,17.36,330982
10280-999-2,Triciribine,50091-2,AU565,316.0,nM,24,hr,543.33,92.26,p-Akt,47.64,340910
10232-101-2,Dactolisib,50091-2,AU565,316.0,nM,6,hr,260.52,52.61,p-Akt,14.55,328993
10232-101-2,Dactolisib,50091-2,AU565,316.0,nM,24,hr,445.48,61.89,p-Akt,21.06,341468
10098-101-2,Gefitinib,50213-2,HCC1954,316.0,nM,6,hr,126.23,35.22,p-Akt,18.96,354077
10098-101-2,Gefitinib,50213-2,HCC1954,316.0,nM,24,hr,269.25,102.68,p-Akt,71.62,345643
10345-999-1,Torkinib,50213-2,HCC1954,133.0,nM,6,hr,233.30,56.33,p-Akt,14.65,355453
10345-999-1,Torkinib,50213-2,HCC1954,133.0,nM,24,hr,249.68,78.36,p-Akt,26.29,346264
10172-101-2,GSK1059615,50213-2,HCC1954,316.0,nM,6,hr,425.79,89.74,p-Akt,33.33,355912
10172-101-2,GSK1059615,50213-2,HCC1954,316.0,nM,24,hr,313.57,66.74,p-Akt,22.92,346669
10057-102-1,MK2206,50213-2,HCC1954,316.0,nM,6,hr,269.60,75.06,p-Akt,15.96,356282
10057-102-1,MK2206,50213-2,HCC1954,316.0,nM,24,hr,278.37,99.86,p-Akt,21.27,347191
10280-999-2,Triciribine,50213-2,HCC1954,316.0,nM,6,hr,258.48,83.20,p-Akt,30.56,357037
10280-999-2,Triciribine,50213-2,HCC1954,316.0,nM,24,hr,253.47,94.43,p-Akt,30.71,344267
10232-101-2,Dactolisib,50213-2,HCC1954,316.0,nM,6,hr,193.59,49.84,p-Akt,12.54,354832
10232-101-2,Dactolisib,50213-2,HCC1954,316.0,nM,24,hr,257.79,66.04,p-Akt,17.13,345023
10098-101-2,Gefitinib,50583-5,MCF 10A,316.0,nM,6,hr,207.85,153.83,p-Akt,28.02,334700
10098-101-2,Gefitinib,50583-5,MCF 10A,316.0,nM,24,hr,253.55,151.61,p-Akt,27.91,348928
10345-999-1,Torkinib,50583-5,MCF 10A,133.0,nM,6,hr,514.18,149.25,p-Akt,23.73,335501
10345-999-1,Torkinib,50583-5,MCF 10A,133.0,nM,24,hr,430.94,141.09,p-Akt,16.66,349477
10172-101-2,GSK1059615,50583-5,MCF 10A,316.0,nM,6,hr,282.17,153.01,p-Akt,21.36,336536
10172-101-2,GSK1059615,50583-5,MCF 10A,316.0,nM,24,hr,269.35,140.01,p-Akt,16.45,349954
10057-102-1,MK2206,50583-5,MCF 10A,316.0,nM,6,hr,384.18,147.34,p-Akt,20.10,336572
10057-102-1,MK2206,50583-5,MCF 10A,316.0,nM,24,hr,298.46,154.22,p-Akt,17.37,350108
10280-999-2,Triciribine,50583-5,MCF 10A,316.0,nM,6,hr,386.31,147.84,p-Akt,20.14,337192
10280-999-2,Triciribine,50583-5,MCF 10A,316.0,nM,24,hr,227.23,137.91,p-Akt,15.66,347408
10232-101-2,Dactolisib,50583-5,MCF 10A,316.0,nM,6,hr,344.98,116.76,p-Akt,17.28,335302
10232-101-2,Dactolisib,50583-5,MCF 10A,316.0,nM,24,hr,291.15,48.65,p-Akt,11.63,348172
10098-101-2,Gefitinib,50541-2,T47D,316.0,nM,6,hr,170.40,93.13,p-Akt,99.63,337966
10098-101-2,Gefitinib,50541-2,T47D,316.0,nM,24,hr,144.02,94.73,p-Akt,70.89,351961
10345-999-1,Torkinib,50541-2,T47D,133.0,nM,6,hr,159.02,71.09,p-Akt,22.14,338759
10345-999-1,Torkinib,50541-2,T47D,133.0,nM,24,hr,125.69,38.17,p-Akt,18.38,352565
10172-101-2,GSK1059615,50541-2,T47D,316.0,nM,6,hr,152.86,67.21,p-Akt,38.54,339272
10172-101-2,GSK1059615,50541-2,T47D,316.0,nM,24,hr,144.36,44.01,p-Akt,26.65,353042
10057-102-1,MK2206,50541-2,T47D,316.0,nM,6,hr,97.94,33.78,p-Akt,6.19,340154
10057-102-1,MK2206,50541-2,T47D,316.0,nM,24,hr,138.70,57.11,p-Akt,16.15,353618
10280-999-2,Triciribine,50541-2,T47D,316.0,nM,6,hr,99.80,36.99,p-Akt,9.71,340819
10280-999-2,Triciribine,50541-2,T47D,316.0,nM,24,hr,166.67,72.06,p-Akt,37.58,351043
10232-101-2,Dactolisib,50541-2,T47D,316.0,nM,6,hr,88.99,42.86,p-Akt,6.47,338659
10232-101-2,Dactolisib,50541-2,T47D,316.0,nM,24,hr,113.46,38.99,p-Akt,14.57,351610
10098-101-2,Gefitinib,50091-2,AU565,1.0,uM,6,hr,281.51,66.62,p-Akt,23.00,328220
10098-101-2,Gefitinib,50091-2,AU565,1.0,uM,24,hr,381.82,84.05,p-Akt,79.75,342125
10345-999-1,Torkinib,50091-2,AU565,562.0,nM,6,hr,337.64,57.59,p-Akt,14.16,329057
10345-999-1,Torkinib,50091-2,AU565,562.0,nM,24,hr,393.59,59.89,p-Akt,21.37,342691
10172-101-2,GSK1059615,50091-2,AU565,1.0,uM,6,hr,325.32,65.35,p-Akt,24.33,329803
10172-101-2,GSK1059615,50091-2,AU565,1.0,uM,24,hr,460.35,72.86,p-Akt,28.61,343537
10057-102-1,MK2206,50091-2,AU565,1.0,uM,6,hr,368.63,75.60,p-Akt,17.45,330613
10057-102-1,MK2206,50091-2,AU565,1.0,uM,24,hr,359.12,71.98,p-Akt,20.13,343852
10280-999-2,Triciribine,50091-2,AU565,1.0,uM,6,hr,326.60,72.81,p-Akt,21.21,330794
10280-999-2,Triciribine,50091-2,AU565,1.0,uM,24,hr,508.25,83.72,p-Akt,40.60,340937
10232-101-2,Dactolisib,50091-2,AU565,1.0,uM,6,hr,250.79,51.61,p-Akt,14.99,328580
10232-101-2,Dactolisib,50091-2,AU565,1.0,uM,24,hr,446.03,61.70,p-Akt,20.91,341855
10098-101-2,Gefitinib,50213-2,HCC1954,1.0,uM,6,hr,159.81,59.51,p-Akt,23.63,353969
10098-101-2,Gefitinib,50213-2,HCC1954,1.0,uM,24,hr,254.11,92.32,p-Akt,65.87,345706
10345-999-1,Torkinib,50213-2,HCC1954,562.0,nM,6,hr,242.75,60.54,p-Akt,14.19,355417
10345-999-1,Torkinib,50213-2,HCC1954,562.0,nM,24,hr,239.91,70.30,p-Akt,17.84,346039
10172-101-2,GSK1059615,50213-2,HCC1954,1.0,uM,6,hr,466.89,78.65,p-Akt,26.79,355661
10172-101-2,GSK1059615,50213-2,HCC1954,1.0,uM,24,hr,302.84,57.11,p-Akt,18.91,346426
10057-102-1,MK2206,50213-2,HCC1954,1.0,uM,6,hr,311.04,76.80,p-Akt,17.06,356012
10057-102-1,MK2206,50213-2,HCC1954,1.0,uM,24,hr,259.01,88.81,p-Akt,19.76,346877
10280-999-2,Triciribine,50213-2,HCC1954,1.0,uM,6,hr,272.11,87.04,p-Akt,32.04,356768
10280-999-2,Triciribine,50213-2,HCC1954,1.0,uM,24,hr,245.06,92.53,p-Akt,28.75,344519
10232-101-2,Dactolisib,50213-2,HCC1954,1.0,uM,6,hr,209.83,60.36,p-Akt,16.60,354724
10232-101-2,Dactolisib,50213-2,HCC1954,1.0,uM,24,hr,266.78,61.07,p-Akt,16.68,344969
10098-101-2,Gefitinib,50583-5,MCF 10A,1.0,uM,6,hr,188.90,143.58,p-Akt,26.72,334547
10098-101-2,Gefitinib,50583-5,MCF 10A,1.0,uM,24,hr,200.98,35.34,p-Akt,25.46,348631
10345-999-1,Torkinib,50583-5,MCF 10A,562.0,nM,6,hr,573.43,154.46,p-Akt,20.79,335699
10345-999-1,Torkinib,50583-5,MCF 10A,562.0,nM,24,hr,427.65,97.49,p-Akt,13.14,349028
10172-101-2,GSK1059615,50583-5,MCF 10A,1.0,uM,6,hr,254.98,130.47,p-Akt,16.63,336077
10172-101-2,GSK1059615,50583-5,MCF 10A,1.0,uM,24,hr,259.20,88.56,p-Akt,14.91,349567
10057-102-1,MK2206,50583-5,MCF 10A,1.0,uM,6,hr,378.15,147.34,p-Akt,18.05,336661
10057-102-1,MK2206,50583-5,MCF 10A,1.0,uM,24,hr,334.73,161.59,p-Akt,15.73,350602
10280-999-2,Triciribine,50583-5,MCF 10A,1.0,uM,6,hr,380.32,148.44,p-Akt,18.12,337201
